"individual","year","sex","age","population","subspecies","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v93","v94","v95","v96","v97","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v126","v127","v128","v129","v130","v131","v132","v133","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v164","grey_score_avg"
"Dizzy",2011,"M",34,"NGOGO","schweinfurthii",4,4,5,4,4,4,4,4,1,2,3,3,2,6,4,2,2,4,2,5,3,4,4,3,4,4,3,3,2,2,3,2,3,2,4,4,3,3,4,3,4,3,3,4,3,3,2,2,3,4,4,4,3,3,4,3,3,4,3,3,2,3,2,2,3,3,3,4,4,4,2,3,2,3,4,2,4,3,4,2,4,4,3,2,2,3,4,4,2,2,5,4,4,3,4,4,2,3,2,3,4,2,4,4,2,3,6,2,2,3,2,3,3,2,4,2,1,3,4,4,3,4,3,2,4,2,1,2,2,6,2,3,6,3,3,2,6,3,2,4,4,4,3,3,3,3,7,3,4,5,5,4,3.23026315789474
"Miles",2011,"M",30,"NGOGO","schweinfurthii",4,3,5,4,4,4,4,4,2,1,3,2,3,6,4,3,2,5,3,5,4,5,5,4,4,4,4,4,2,2,3,2,4,3,5,3,4,4,5,4,4,3,2,4,4,3,4,4,3,5,4,5,4,4,5,3,4,4,4,3,2,4,2,3,5,3,3,4,5,3,2,3,3,3,3,4,4,5,4,5,3,4,3,4,3,5,4,4,4,2,4,4,5,4,5,5,2,3,3,4,4,3,5,4,5,4,4,3,3,4,3,4,4,4,4,2,2,3,4,3,4,3,2,3,2,1,1,3,4,6,2,3,6,2,3,6,6,3,1,3,2,2,2,2,3,2,5,2,2,2,2,4,3.50657894736842
"Abe",2011,"M",18,"NIRC","verus",3,2,3,2,1,4,3,3,2,4,3,1,5,1,1,3,1,5,2,3,4,1,3,3,5,4,3,1,1,2,3,2,5,3,2,4,2,1,3,1,3,2,2,3,2,3,2,3,1,4,1,1,2,4,3,4,4,1,2,3,1,3,2,3,3,2,3,2,3,2,2,3,3,2,1,1,2,3,3,4,3,4,1,2,2,3,1,3,2,4,2,4,3,3,2,4,1,2,4,3,4,2,3,3,2,3,2,3,2,3,3,1,1,4,3,3,3,4,3,4,1,3,2,3,2,6,2,2,4,2,1,4,1,2,1,1,1,3,2,3,3,2,2,2,3,2,3,2,3,3,2,2,2.54605263157895
"Dalton",2011,"M",15,"NIRC","verus",1,2,1,2,2,2,2,2,4,3,3,4,1,2,1,3,1,4,2,2,4,3,3,1,5,2,2,1,2,3,2,2,4,3,2,3,2,2,4,2,3,2,3,3,2,3,1,3,1,1,2,3,3,3,4,1,3,3,2,4,2,2,2,1,3,4,3,3,2,2,2,3,2,2,2,2,2,3,3,3,4,4,2,2,2,2,3,4,1,4,2,4,3,3,3,3,1,2,3,2,3,3,4,2,2,1,3,2,2,3,1,1,1,3,4,4,2,1,2,4,1,3,4,3,1,5,2,1,2,2,1,2,2,2,1,4,6,3,4,3,3,2,2,4,4,4,3,2,2,5,3,2,2.52631578947368
"Hugo",2011,"M",18,"NIRC","verus",4,3,4,3,4,4,4,4,3,4,3,6,2,1,1,6,2,5,4,3,5,4,3,3,5,4,2,2,2,4,3,2,4,3,4,2,2,4,3,2,4,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,4,2,2,4,2,3,2,3,3,3,3,4,3,3,3,4,3,2,3,2,3,3,4,5,3,4,3,3,2,3,4,4,2,4,4,4,4,3,4,4,2,2,2,4,4,3,3,3,3,3,2,3,3,4,2,2,3,3,4,4,3,4,6,4,3,4,3,2,3,2,3,1,2,2,3,2,2,4,6,3,2,4,1,2,3,3,2,2,3,2,6,2,2,2,2,3,3.125
"Kent",2011,"M",16,"NIRC","verus",5,4,4,4,3,4,5,4,3,4,3,2,1,3,1,6,1,3,3,3,3,3,4,4,4,4,4,4,3,1,1,2,4,3,3,3,2,4,3,3,4,2,2,4,2,3,2,3,3,3,5,3,4,4,3,2,4,2,2,3,1,3,2,4,3,3,3,2,3,3,3,2,3,3,4,3,3,5,2,5,2,2,3,4,2,2,3,4,4,4,4,4,4,2,4,3,2,3,3,4,3,2,4,3,3,3,4,3,2,4,4,3,2,3,4,4,4,2,2,5,3,4,2,3,4,3,2,3,3,3,2,4,1,3,5,3,6,4,4,2,3,2,1,2,3,2,5,2,2,2,1,2,3.06578947368421
"Miff",2011,"F",18,"NIRC","verus",3,4,3,3,3,4,2,4,3,6,3,2,5,6,4,6,6,6,6,6,6,6,6,5,6,1,1,2,5,6,6,1,6,6,6,5,5,6,6,6,6,6,6,4,6,6,6,6,6,5,6,5,6,6,6,5,6,1,6,6,5,6,5,2,6,2,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,1,1,6,6,6,6,6,6,6,5,6,6,6,6,3,5,5,6,6,6,1,6,6,5,1,6,6,6,6,1,6,6,6,6,6,3,6,3,6,5,6,6,3,6,3,6,1,3,3,6,3,1,2,3,2,1,2,1,2,3,2,2,2,1,3,4.70394736842105
"Moe",2011,"M",18,"NIRC","verus",3,3,4,4,3,4,3,5,5,6,5,4,5,6,1,6,6,6,6,6,6,6,6,5,6,6,1,2,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,3,6,6,6,6,6,5,6,5,6,6,6,5,6,3,6,6,5,6,5,3,6,3,6,6,6,5,2,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,1,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,3,5,6,6,6,6,6,6,6,6,6,6,2,6,3,2,5,6,6,3,6,3,6,2,3,3,6,3,3,2,4,2,2,3,2,2,3,2,2,2,2,3,4.92105263157895
"Shaq",2011,"M",15,"NIRC","verus",3,3,3,2,2,3,2,4,2,3,3,3,2,2,2,3,2,4,3,2,3,4,2,2,4,2,4,1,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,5,2,3,6,2,2,3,1,2,2,4,1,4,4,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,4,2,4,2,2,1,2,2,3,1,2,2,3,3,2,2,4,2,6,3,3,2,2,2,3,3,3,2,2,2,2,1,3,1,3,2,1,2,1,2,2,1,3,2,2,3,4,1,2,3,6,2,2,1,2,3,2,6,3,5,4,1,1,1,2,1,2,3,4,2,2,2,3,2.45394736842105
"Twirp",2011,"M",10,"NIRC","verus",2,2,3,2,2,3,3,4,3,6,3,3,3,1,4,4,2,4,4,4,5,4,3,2,4,3,3,3,4,2,3,3,5,3,3,3,2,4,3,3,2,3,2,5,3,3,2,3,3,4,3,3,4,3,3,2,5,4,2,4,2,3,2,3,4,3,3,3,3,3,2,3,3,2,2,2,3,3,3,5,3,4,3,2,2,3,3,4,3,3,4,3,4,3,4,4,2,2,4,3,3,3,3,4,3,3,6,2,3,4,2,3,2,4,2,3,2,3,3,3,3,4,4,2,4,2,2,2,4,6,1,4,6,2,3,3,6,3,1,4,4,2,2,3,2,3,5,2,4,4,3,3,3.11842105263158
"Jaybird",2013,"M",18,"NIRC","verus",5,3,4,3,3,4,4,3,5,4,3,5,2,2,1,6,2,4,2,4,5,4,3,2,4,4,4,1,2,3,3,2,5,4,2,2,3,3,4,3,4,3,2,4,3,3,6,3,2,3,4,4,3,5,3,2,5,3,3,3,3,3,2,3,4,3,4,2,3,3,3,4,4,3,3,3,3,4,3,4,3,5,4,2,2,3,2,4,2,4,4,4,3,3,3,4,3,2,4,3,3,3,4,3,3,2,3,3,3,4,1,3,3,4,3,5,4,4,3,2,3,4,3,2,3,4,3,2,2,2,2,4,2,3,4,2,2,2,5,3,4,3,2,2,5,3,6,2,2,3,2,3,3.19078947368421
"Matthew",NA,"M",29,"NIRC","verus",5,5,5,4,5,5,5,5,5,4,3,5,3,4,5,3,3,5,4,4,6,5,4,2,5,4,5,5,4,3,3,2,4,4,5,2,4,4,5,4,5,3,5,4,5,4,3,4,4,5,5,4,5,3,4,3,4,5,5,3,2,4,3,5,4,4,5,4,4,3,3,2,3,4,3,4,4,4,5,5,4,4,4,4,2,5,5,5,1,5,5,5,4,4,4,5,3,4,2,4,4,4,5,5,3,4,5,3,3,4,3,4,4,4,2,2,4,4,4,5,4,4,4,4,3,4,4,5,3,4,4,5,2,4,2,4,3,2,5,3,5,5,4,5,5,5,7,4,4,5,4,4,4.01315789473684
"Mable",NA,"F",9,"NIRC","verus",1,3,3,3,2,2,4,4,2,3,3,3,4,4,2,6,2,4,3,2,3,4,2,2,4,4,4,5,3,2,3,2,4,2,3,4,2,2,3,1,2,2,2,4,2,3,1,3,3,5,1,5,3,4,2,4,5,3,2,5,1,2,2,3,3,2,3,2,2,3,2,3,3,3,2,1,2,4,2,4,3,3,2,2,1,4,2,4,1,3,5,3,5,3,4,4,2,3,3,4,2,3,3,3,3,2,5,3,1,3,2,4,4,3,2,4,4,4,2,2,4,3,3,2,3,5,3,3,2,1,6,4,2,2,5,3,6,4,4,1,5,2,2,2,1,3,2,2,3,2,2,3,2.92105263157895
"Male1",NA,"M",31,"NIRC","verus",4,3,4,3,3,2,3,3,1,4,3,2,1,3,1,6,3,5,1,3,4,3,3,1,5,3,3,1,2,3,6,2,5,3,2,2,3,2,4,4,3,3,3,3,3,3,1,4,3,3,1,3,3,4,3,2,5,2,1,4,1,2,2,2,2,2,2,4,4,3,2,4,3,3,2,2,3,1,2,4,4,5,3,3,2,2,3,4,1,4,3,3,4,3,4,5,3,2,2,4,3,3,3,3,3,4,4,2,3,4,4,3,1,4,1,1,2,3,3,5,3,3,3,2,1,5,4,1,1,3,1,3,6,1,4,2,6,2,2,3,2,1,2,2,1,2,2,2,2,1,1,3,2.80263157894737
"Male2",NA,"M",31,"NIRC","verus",5,5,5,4,5,5,5,5,1,4,3,2,1,4,3,6,2,5,4,4,5,4,4,2,5,4,4,4,3,4,3,2,5,4,4,2,4,4,4,4,5,3,3,4,3,3,2,4,2,3,4,4,4,4,3,2,5,4,3,4,3,3,2,4,4,3,3,4,4,3,3,3,3,3,2,3,4,2,4,5,3,4,4,4,3,4,4,3,4,5,5,5,4,3,5,4,3,3,3,3,3,3,4,4,4,3,3,3,3,4,2,3,2,4,2,4,4,2,4,4,3,4,4,3,2,2,4,1,2,3,1,3,1,3,3,2,6,6,2,4,4,2,2,3,2,3,3,1,3,2,3,3,3.40789473684211
"Male4",NA,"M",30,"NIRC","verus",5,4,5,5,4,5,5,5,4,4,3,2,3,3,4,6,3,5,3,4,5,4,4,3,5,4,5,3,4,3,4,2,5,4,4,3,3,3,4,3,4,3,3,3,3,3,3,4,3,5,4,5,5,4,5,2,5,4,4,4,6,3,2,2,4,4,3,4,4,4,2,4,4,2,3,3,2,2,4,5,3,5,4,3,3,5,4,4,4,4,4,5,5,4,4,5,2,3,3,3,3,3,5,2,3,3,4,4,4,4,5,2,2,5,2,3,4,4,6,5,2,5,3,3,3,5,4,3,2,3,2,4,6,3,5,1,6,3,4,4,1,1,1,1,1,2,2,1,2,1,1,3,3.53947368421053
"Male6",NA,"M",45,"NIRC","verus",4,3,2,3,3,4,4,4,2,3,3,4,2,1,4,6,2,5,2,4,5,4,3,2,5,4,3,4,3,2,3,1,4,4,4,3,3,2,4,2,4,3,2,3,3,4,4,3,2,5,2,4,3,4,4,2,5,2,4,3,2,2,3,2,3,3,2,4,4,3,2,3,3,3,2,2,3,2,4,5,4,5,3,3,2,4,3,4,1,4,3,4,4,3,5,5,3,3,3,3,3,3,3,5,3,2,4,3,3,3,1,3,2,4,2,6,4,3,6,1,3,4,3,2,2,4,4,1,2,2,2,2,6,3,4,3,6,3,2,2,5,1,2,2,1,2,3,1,2,2,2,3,3.10526315789474
"Male7",NA,"M",43,"NIRC","verus",5,4,4,1,4,4,4,4,5,5,3,3,2,5,4,6,2,5,4,4,5,4,3,2,5,4,5,4,4,1,4,4,4,4,4,4,3,5,4,3,4,2,2,3,5,3,4,4,2,5,5,5,5,2,4,2,5,2,5,4,2,3,3,4,5,6,4,4,4,4,3,4,3,3,4,4,4,3,4,5,4,3,5,4,4,5,4,5,5,4,5,4,4,4,5,5,4,2,3,5,4,3,4,4,5,2,4,3,2,5,4,4,5,4,4,1,4,5,4,5,4,5,2,2,3,4,4,4,2,3,5,3,1,4,4,2,6,3,5,4,5,2,2,2,2,3,3,1,3,2,2,4,3.71052631578947
"Male8",NA,"M",51,"NIRC","verus",4,4,4,3,4,4,4,4,3,3,3,2,2,3,4,6,2,5,1,4,3,4,3,3,4,4,2,3,3,1,3,2,3,2,1,5,2,4,4,2,3,3,3,4,2,4,2,4,2,5,3,5,4,4,4,3,4,1,4,4,1,3,3,3,3,1,3,3,3,2,1,3,3,3,1,3,3,3,2,3,2,4,3,4,1,4,3,4,2,1,3,4,3,3,5,3,2,2,3,2,2,2,4,3,3,3,4,2,2,3,2,2,1,2,4,3,3,5,3,3,3,3,3,2,4,4,2,1,2,2,1,5,6,3,3,2,6,3,3,3,1,1,2,1,1,2,3,1,2,2,2,3,2.90131578947368
"Male9",NA,"M",43,"NIRC","verus",4,5,4,4,3,4,5,4,4,4,3,3,2,3,4,6,1,4,4,4,3,4,2,2,4,5,4,5,4,1,2,2,3,3,3,3,3,4,4,2,4,3,2,4,4,3,1,1,2,5,5,5,5,3,4,4,4,1,5,4,6,1,3,4,4,2,4,3,2,2,2,2,3,3,1,2,4,3,2,5,1,4,3,3,3,5,3,3,3,2,4,4,5,3,5,3,1,2,2,2,4,3,4,4,1,2,4,3,1,4,1,3,2,2,2,2,4,4,3,4,3,4,2,3,2,4,2,3,2,2,2,5,6,3,2,3,6,3,4,3,4,3,2,2,2,2,5,1,2,2,2,4,3.14473684210526
"Male10",NA,"M",44,"NIRC","verus",5,5,5,4,4,5,5,5,1,3,5,4,1,3,4,6,2,5,4,5,5,5,4,6,5,5,5,5,4,3,4,2,4,5,5,4,4,4,5,4,4,3,3,2,4,4,3,3,4,4,5,5,5,2,5,4,5,4,5,3,3,4,3,5,5,1,4,4,5,2,4,4,4,3,3,3,4,5,4,4,2,5,4,4,4,5,5,5,4,4,5,5,4,4,5,5,4,3,2,2,2,3,4,5,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,4,3,5,4,3,2,5,3,2,2,3,2,5,6,2,4,3,6,3,2,3,4,3,2,2,2,3,3,1,3,2,1,4,3.76315789473684
"Rachael",NA,"F",16,"NIRC","verus",1,3,3,3,2,4,3,3,1,2,3,2,2,2,2,2,2,4,2,3,4,4,2,1,4,3,3,2,3,2,3,2,4,3,3,2,3,6,4,3,3,2,2,2,2,3,3,2,2,4,6,4,2,3,2,3,4,3,2,4,3,2,2,3,5,3,3,3,3,2,3,2,2,2,2,2,2,3,3,4,3,4,3,3,1,3,3,4,1,2,3,3,4,4,3,4,2,6,2,3,2,3,4,4,3,2,2,2,2,3,2,3,6,3,2,4,2,1,3,2,2,3,3,2,2,1,1,2,3,2,1,3,1,2,3,1,6,3,4,2,4,3,2,3,3,3,3,3,3,3,2,3,2.76315789473684
"DIV",NA,"F",14,"TAI","verus",1,2,4,2,1,2,3,2,2,3,3,2,4,1,1,3,1,4,3,2,3,2,3,1,4,3,2,3,4,3,3,2,4,4,3,2,2,2,4,1,3,2,3,4,3,3,3,4,2,2,3,3,3,3,3,2,4,1,3,3,2,2,2,3,3,3,2,3,4,2,3,2,3,2,3,1,2,3,3,5,3,4,3,3,1,2,2,4,3,3,4,4,4,2,3,3,2,2,2,4,3,3,4,6,2,6,4,2,3,4,2,2,2,4,3,5,2,3,3,2,3,4,3,3,2,5,2,2,2,2,2,6,2,2,2,2,6,3,4,4,1,3,2,2,2,2,5,3,2,2,2,4,2.79605263157895
"ISH",NA,"F",39,"TAI","verus",2,2,4,1,2,3,3,3,3,2,3,3,3,1,1,3,1,4,3,2,2,3,3,2,4,2,4,3,3,2,2,2,3,2,2,2,2,2,4,1,2,2,2,3,3,2,1,4,1,3,1,3,2,4,2,2,3,1,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,1,2,2,2,3,5,2,4,2,3,1,6,1,3,2,2,3,2,3,2,2,2,2,2,3,3,3,2,2,3,2,3,4,6,1,2,3,2,2,3,3,4,2,2,3,2,2,3,3,2,2,1,2,1,1,2,2,4,1,2,3,1,6,3,4,4,1,1,1,2,1,1,2,1,2,1,1,4,2.36184210526316
"ROM",NA,"M",9,"TAI","verus",2,2,2,2,2,3,3,2,4,2,3,4,1,1,1,2,1,4,3,2,3,2,3,2,5,3,3,2,2,2,2,2,4,3,2,2,2,1,3,2,3,2,2,3,3,2,2,4,1,2,2,2,2,3,2,2,4,1,2,3,1,2,2,2,2,1,2,3,3,2,2,3,2,2,1,2,2,2,3,4,3,4,1,3,1,6,1,4,1,3,3,2,3,2,4,4,1,2,2,2,2,2,3,2,1,3,1,1,2,2,4,2,2,3,2,5,2,1,3,3,2,2,3,2,2,3,2,1,1,2,1,2,1,1,3,2,6,3,4,4,4,3,3,3,3,4,5,3,4,4,1,3,2.44078947368421
"TAB",NA,"M",17,"TAI","verus",1,2,2,2,2,2,2,2,5,2,3,6,2,4,1,2,1,3,3,2,1,2,3,2,5,2,3,3,2,2,2,2,3,2,2,3,2,1,3,2,2,2,2,5,3,2,2,3,1,2,1,2,1,3,2,2,3,1,2,2,1,2,2,2,2,1,3,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,1,3,1,2,1,3,2,3,2,2,1,2,1,4,1,2,3,2,2,2,2,3,3,3,3,1,2,2,6,2,2,3,2,3,3,2,3,2,2,2,3,2,2,2,1,1,2,1,1,2,2,2,2,2,2,3,2,3,5,2,2,3,4,4,5,2,4,5,4,3,2.31578947368421
"WOO",NA,"M",15,"TAI","verus",1,2,2,2,1,2,2,2,1,2,3,4,2,3,1,2,1,4,2,2,1,2,3,2,5,2,3,1,2,1,2,2,3,2,2,3,1,1,3,1,2,2,2,4,3,2,2,3,1,2,1,1,1,3,2,2,3,1,2,2,1,2,2,2,1,1,3,3,2,2,2,2,2,2,1,2,2,2,2,4,2,2,1,2,1,3,1,3,1,3,2,2,2,2,1,3,1,2,4,3,2,2,2,2,3,1,3,1,2,2,3,1,2,3,3,4,3,2,2,4,2,1,3,2,3,6,2,1,3,1,1,2,6,2,2,1,1,3,5,3,5,2,2,2,2,3,3,2,2,2,2,2,2.17763157894737
"ZYO",NA,"M",45,"TAI","verus",4,5,5,5,3,3,5,4,2,3,3,2,1,3,1,2,1,4,3,3,3,3,3,2,5,4,4,2,3,3,3,2,3,2,2,3,1,4,5,3,4,2,1,4,4,3,2,4,3,3,2,2,3,3,3,2,3,2,3,2,1,2,2,2,3,2,3,3,3,3,2,2,2,3,3,6,3,4,4,5,3,3,2,4,1,4,3,3,1,4,4,2,3,2,3,3,2,3,2,3,4,2,3,4,2,3,3,3,3,3,2,2,3,4,4,5,3,1,3,3,3,4,2,3,4,1,2,4,2,2,2,3,1,1,5,3,3,3,2,3,3,1,1,1,1,2,3,2,2,2,1,3,2.79605263157895
"ZOR",NA,"F",52,"TAI","verus",1,3,4,6,1,3,5,5,3,2,3,1,3,3,1,2,1,4,3,3,3,4,2,4,5,3,5,4,3,3,1,2,2,2,1,3,2,3,5,3,2,2,1,5,4,1,2,3,2,5,4,2,5,3,5,3,3,1,3,4,1,1,1,3,3,3,3,2,2,5,2,2,3,4,4,2,1,5,3,5,1,2,2,3,2,2,3,4,1,1,4,2,4,2,2,4,2,3,3,3,4,1,3,4,2,2,3,4,2,3,1,3,2,2,1,3,3,2,1,4,4,5,2,3,2,1,2,4,3,3,1,4,2,2,5,2,2,3,1,2,4,3,2,4,2,2,7,4,3,3,3,2,2.78947368421053
"WAP",NA,"F",41,"TAI","verus",3,2,4,3,2,4,5,4,4,1,3,2,3,3,1,3,1,5,2,2,3,3,2,3,4,3,3,3,2,4,2,2,3,2,1,3,2,1,5,2,2,2,2,3,4,2,2,2,1,4,1,3,2,3,5,1,3,1,2,3,1,1,2,1,2,2,2,2,2,4,2,2,2,2,1,1,1,3,2,4,2,2,1,3,1,2,2,3,1,2,3,2,3,2,2,3,1,1,2,3,3,2,2,3,2,3,3,3,2,2,2,3,2,2,2,3,3,2,2,3,3,4,3,2,4,4,1,3,3,1,2,3,3,2,2,2,2,3,5,4,1,1,2,2,1,1,3,1,2,2,2,3,2.39473684210526
"UTA",NA,"M",14,"TAI","verus",3,2,4,3,2,2,4,4,5,1,3,1,2,2,1,2,1,4,3,3,4,2,3,3,5,3,2,4,2,4,4,2,5,3,3,3,3,2,4,3,2,2,2,4,5,3,1,3,1,4,3,2,2,4,4,2,5,1,3,4,1,2,2,1,1,1,2,3,2,3,3,2,4,2,2,2,2,4,3,4,3,4,3,3,1,3,2,4,2,4,2,3,3,2,2,4,1,2,4,3,4,2,2,6,2,3,2,2,4,2,3,4,2,3,3,5,3,2,3,3,2,3,3,6,3,5,1,3,2,2,1,3,2,2,6,6,2,3,4,3,3,2,2,2,2,2,3,2,3,2,2,2,2.78289473684211
"SUM",NA,"F",44,"TAI","verus",4,5,5,2,3,2,5,4,1,3,3,2,4,3,1,3,1,4,3,5,4,4,2,4,4,3,3,4,3,4,2,2,4,3,4,2,2,3,4,3,4,3,2,5,2,2,2,4,1,4,4,3,3,4,3,3,3,2,3,3,2,3,2,2,4,3,2,3,2,5,2,2,3,2,3,2,4,3,3,5,2,3,3,3,1,4,3,3,3,2,3,4,3,2,4,3,1,2,3,3,4,2,2,2,3,3,4,3,2,4,4,2,3,2,4,3,3,1,4,2,4,5,2,2,2,4,1,2,2,1,2,3,1,2,6,2,3,2,3,3,2,2,2,2,1,1,3,2,3,2,2,4,2.85526315789474
"SAG",NA,"M",20,"TAI","verus",2,3,4,3,2,2,3,4,2,3,3,1,3,1,1,3,1,4,2,4,1,4,2,2,4,2,4,1,2,2,1,2,3,2,3,3,2,1,4,2,2,2,3,2,2,2,1,3,1,3,1,1,2,4,3,2,3,1,3,4,2,2,2,1,2,1,2,2,2,3,2,2,3,1,2,1,1,3,3,3,2,3,2,2,1,1,1,3,2,2,2,2,2,2,4,2,1,2,3,3,3,1,3,3,3,3,2,2,1,2,4,1,1,3,3,4,2,3,2,4,3,2,3,2,3,3,1,1,1,1,2,2,1,2,3,1,2,2,1,2,3,2,3,2,1,3,5,1,3,3,2,4,2.26973684210526
"OLI",NA,"F",36,"TAI","verus",3,2,5,2,1,2,3,4,3,2,3,2,2,2,1,2,1,4,4,3,2,4,3,2,5,2,3,1,2,2,2,1,3,2,2,3,2,3,3,2,3,2,2,2,3,3,1,4,1,4,1,2,2,4,4,2,3,1,2,3,1,2,2,1,1,1,3,2,2,2,2,2,3,2,2,2,2,3,4,4,2,4,2,2,2,1,1,2,1,2,2,3,2,2,3,3,1,2,2,3,3,2,3,4,3,2,2,2,2,3,3,2,2,3,2,5,2,2,2,2,3,2,2,2,4,2,1,2,2,1,1,3,2,2,2,2,2,2,5,1,1,3,1,1,1,1,2,1,1,1,1,4,2.27631578947368
