"Brand_Name","flavor","CO","nic","tar","size","filter","pack","menthol"
"Alpine ","",15,1.1,16,"100","F","SP","yes"
"Alpine ","Lt",12,0.8,10,"100","F","SP","yes"
"Alpine ","",15,1.1,16,"King","F","HP","yes"
"Alpine ","Lt",11,0.7,10,"King","F","HP","yes"
"Alpine ","",16,1,16,"King","F","SP","yes"
"Alpine ","Lt",10,0.7,9,"King","F","SP","yes"
"American ","FF",16,0.9,14,"100","F","SP","no"
"American ","Lt",13,0.7,10,"100","F","SP","no"
"American ","Lt",11,0.7,9,"King","F","HP","no"
"American ","FF",15,0.9,15,"King","F","SP","no"
"American ","Lt",11,0.7,9,"King","F","SP","no"
"Austin* ","FF",18,0.8,13,"100","F","SP","no"
"Austin* ","FF",17,0.8,13,"100","F","SP","yes"
"Austin* ","Lt",12,0.7,9,"100","F","SP","no"
"Austin* ","Lt",12,0.7,10,"100","F","SP","yes"
"Austin* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Austin* ","FF",16,0.9,15,"King","F","HP","no"
"Austin* ","Lt",12,0.6,9,"King","F","HP","no"
"Austin* ","FF",16,0.8,14,"King","F","SP","no"
"Austin* ","FF",17,0.8,14,"King","F","SP","yes"
"Austin* ","Lt",13,0.7,10,"King","F","SP","no"
"Austin* ","Lt",12,0.6,9,"King","F","SP","yes"
"Austin* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Austin* ","",16,1.1,20,"King","NF","SP","no"
"Barclay* ","",4,0.4,5,"100","F","SP","no"
"Barclay* ","",2,0.2,3,"King","F","HP","no"
"Barclay* ","",2,0.2,3,"King","F","SP","no"
"Bargain Buy* ","FF",18,0.8,13,"100","F","SP","no"
"Bargain Buy* ","FF",17,0.8,13,"100","F","SP","yes"
"Bargain Buy* ","Lt",12,0.7,9,"100","F","SP","no"
"Bargain Buy* ","Lt",12,0.7,10,"100","F","SP","yes"
"Bargain Buy* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Bargain Buy* ","FF",16,0.8,14,"King","F","SP","no"
"Bargain Buy* ","FF",17,0.8,14,"King","F","SP","yes"
"Bargain Buy* ","Lt",13,0.7,10,"King","F","SP","no"
"Bargain Buy* ","Lt",12,0.6,9,"King","F","SP","yes"
"Bargain Buy* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Bargain Buy* ","",16,1.1,20,"King","NF","SP","no"
"Basic ","",19,1,16,"100","F","SP","no"
"Basic ","FF",19,1,16,"100","F","SP","yes"
"Basic ","Lt",15,0.8,11,"100","F","SP","no"
"Basic ","Lt",15,0.8,11,"100","F","SP","yes"
"Basic ","Ultra-Lt",9,0.5,6,"100","F","SP","no"
"Basic ","",17,1,16,"King","F","HP","no"
"Basic ","",17,1,16,"King","F","HP","yes"
"Basic ","Lt",13,0.7,10,"King","F","HP","no"
"Basic ","",17,1,16,"King","F","SP","no"
"Basic ","FF",17,1,16,"King","F","SP","yes"
"Basic ","Lt",14,0.7,11,"King","F","SP","no"
"Basic ","Lt",14,0.7,10,"King","F","SP","yes"
"Basic ","Ultra-Lt",8,0.5,6,"King","F","SP","no"
"Basic ","",16,1.7,27,"King","NF","SP","no"
"Beacon* ","FF",18,0.8,13,"100","F","SP","no"
"Beacon* ","FF",17,0.8,13,"100","F","SP","yes"
"Beacon* ","Lt",12,0.7,9,"100","F","SP","no"
"Beacon* ","Lt",12,0.7,10,"100","F","SP","yes"
"Beacon* ","Ultra",8,0.3,4,"100","F","SP","no"
"Beacon* ","FF",16,0.8,14,"King","F","SP","no"
"Beacon* ","FF",17,0.8,14,"King","F","SP","yes"
"Beacon* ","Lt",13,0.7,10,"King","F","SP","no"
"Beacon* ","Lt",12,0.6,9,"King","F","SP","yes"
"Beacon* ","Ultra",6,0.3,4,"King","F","SP","no"
"Beacon* ","",16,1.1,20,"King","NF","SP","no"
"Bee* ","",14,1.1,15,"King","F","HP","no"
"Bee* ","Lt",12,0.8,10,"King","F","HP","no"
"Belair ","",9,0.8,9,"100","F","SP","yes"
"Belair ","",9,0.9,10,"King","F","SP","yes"
"Benson & Hedges ","",15,1.1,15,"100","F","HP","no"
"Benson & Hedges ","",15,1.1,15,"100","F","HP","no"
"Benson & Hedges ","",15,1.1,15,"100","F","HP","yes"
"Benson & Hedges ","",15,1.1,15,"100","F","HP","yes"
"Benson & Hedges ","Lt",11,0.8,10,"100","F","HP","no"
"Benson & Hedges ","Lt",11,0.8,10,"100","F","HP","yes"
"Benson & Hedges ","Lt",11,0.8,10,"100","F","HP","yes"
"Benson & Hedges ","Ultra-LtDix",7,0.5,6,"100","F","HP","no"
"Benson & Hedges ","Ultra-LtDix",7,0.5,6,"100","F","HP","no"
"Benson & Hedges ","Ultra-LtDix",8,0.5,6,"100","F","HP","yes"
"Benson & Hedges ","Ultra-LtDix",8,0.5,6,"100","F","HP","yes"
"Benson & Hedges ","",15,1.1,15,"100","F","SP","no"
"Benson & Hedges ","",15,1.1,15,"100","F","SP","no"
"Benson & Hedges ","",15,1.1,15,"100","F","SP","yes"
"Benson & Hedges ","",15,1.1,15,"100","F","SP","yes"
"Benson & Hedges ","Lt",13,0.8,11,"100","F","SP","no"
"Benson & Hedges ","Lt",13,0.8,11,"100","F","SP","no"
"Benson & Hedges ","Lt",12,0.8,10,"100","F","SP","yes"
"Benson & Hedges ","Lt",12,0.8,10,"100","F","SP","yes"
"Benson & Hedges ","",14,1.1,16,"King","F","HP","no"
"Benson & Hedges ","M-Filter",11,0.9,11,"King","F","SP","no"
"Best Choice ","FF",18,0.8,13,"100","F","SP","no"
"Best Choice* ","FF",17,0.8,13,"100","F","SP","yes"
"Best Choice* ","Lt",12,0.7,9,"100","F","SP","no"
"Best Choice* ","Lt",12,0.7,10,"100","F","SP","yes"
"Best Choice* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Best Choice* ","FF",16,0.9,15,"King","F","HP","no"
"Best Choice* ","Lt",12,0.6,9,"King","F","HP","no"
"Best Choice* ","FF",16,0.8,14,"King","F","SP","no"
"Best Choice* ","FF",17,0.8,14,"King","F","SP","yes"
"Best Choice* ","Lt",13,0.7,10,"King","F","SP","no"
"Best Choice* ","Lt",12,0.6,9,"King","F","SP","yes"
"Best Choice* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Best Choice* ","",16,1.1,20,"King","NF","SP","no"
"Best Value ","FF",18,0.8,13,"100","F","SP","no"
"Best Value ","FF",17,0.8,14,"100","F","SP","yes"
"Best Value ","Lt",12,0.7,9,"100","F","SP","no"
"Best Value ","Lt",12,0.7,10,"100","F","SP","yes"
"Best Value ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Best Value ","FF",16,0.8,14,"King","F","SP","no"
"Best Value ","FF",17,0.8,14,"King","F","SP","yes"
"Best Value ","Lt",13,0.7,10,"King","F","SP","no"
"Best Value ","Lt",12,0.6,9,"King","F","SP","yes"
"Best Value ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Best Value ","",16,1.1,20,"King","NF","SP","no"
"Bonus Value* ","FF",17,0.8,13,"100","F","SP","yes"
"Bonus Value* ","Lt",12,0.7,9,"100","F","SP","no"
"Bonus Value* ","Lt",12,0.7,10,"100","F","SP","yes"
"Bonus Value* ","Ultra",8,0.3,4,"100","F","SP","no"
"Bonus Value* ","FF",16,0.9,15,"King","F","HP","no"
"Bonus Value* ","Lt",12,0.6,9,"King","F","HP","no"
"Bonus Value* ","FF",16,0.8,14,"King","F","SP","no"
"Bonus Value* ","FF",17,0.8,14,"King","F","SP","yes"
"Bonus Value* ","Lt",12,0.6,9,"King","F","SP","yes"
"Bonus Value* ","Ultra",6,0.3,4,"King","F","SP","no"
"Bonus Value* ","",16,1.1,20,"King","NF","SP","no"
"Brandon* ","FF",18,0.8,13,"100","F","SP","no"
"Brandon* ","FF",17,0.8,13,"100","F","SP","yes"
"Brandon* ","Lt",12,0.7,9,"100","F","SP","no"
"Brandon* ","Lt",12,0.7,10,"100","F","SP","yes"
"Brandon* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Brandon* ","FF",16,0.9,15,"King","F","HP","no"
"Brandon* ","Lt",12,0.6,9,"King","F","HP","no"
"Brandon* ","FF",16,0.8,14,"King","F","SP","no"
"Brandon* ","FF",17,0.8,14,"King","F","SP","yes"
"Brandon* ","Lt",13,0.7,10,"King","F","SP","no"
"Brandon* ","Lt",12,0.6,9,"King","F","SP","yes"
"Brandon* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Brentwood* ","FF",18,0.8,13,"100","F","SP","no"
"Brentwood* ","FF",17,0.8,13,"100","F","SP","yes"
"Brentwood* ","Lt",12,0.7,9,"100","F","SP","no"
"Brentwood* ","Lt",12,0.7,10,"100","F","SP","yes"
"Brentwood* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Brentwood* ","FF",16,0.8,14,"King","F","SP","no"
"Brentwood* ","FF",17,0.8,14,"King","F","SP","yes"
"Brentwood* ","Lt",13,0.7,10,"King","F","SP","no"
"Brentwood* ","Lt",12,0.6,9,"King","F","SP","yes"
"Brentwood* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Bristol ","",18,1,16,"100","F","SP","no"
"Bristol ","Lowest",3,0.2,2,"100","F","SP","no"
"Bristol ","Lt",14,0.7,10,"100","F","SP","no"
"Bristol ","Lt",14,0.8,10,"100","F","SP","yes"
"Bristol ","Ultra-Lt",8,0.4,5,"100","F","SP","no"
"Bristol ","",16,1,15,"King","F","SP","no"
"Bristol ","Lowest",2,0.1,1,"King","F","SP","no"
"Bristol ","Lt",13,0.7,10,"King","F","SP","no"
"Bristol ","Lt",13,0.7,10,"King","F","SP","yes"
"Bristol ","",16,1.7,27,"King","NF","SP","no"
"Bucks ","",13,1,14,"King","F","SP","no"
"Bucks ","Lt",12,0.8,10,"King","F","SP","no"
"Cambridge ","FF",19,1.1,16,"100","F","SP","no"
"Cambridge ","Lowest",3,0.2,2,"100","F","SP","no"
"Cambridge ","Lt",14,0.7,10,"100","F","SP","no"
"Cambridge ","Lt",15,0.8,11,"100","F","SP","yes"
"Cambridge ","Ultra-Lt",9,0.5,5,"100","F","SP","no"
"Cambridge ","FF",17,1,16,"King","F","SP","no"
"Cambridge ","Lt",13,0.7,11,"King","F","SP","no"
"Cambridge ","Lt",13,0.7,11,"King","F","SP","yes"
"Camel ","Lt",11,0.9,10,"100","F","HP","no"
"Camel ","LtSpecial",11,0.9,10,"100","F","HP","no"
"Camel ","Ultra-Lt",7,0.5,5,"100","F","HP","no"
"Camel ","",17,1.2,17,"100","F","SP","no"
"Camel ","Lt",12,0.9,11,"100","F","SP","no"
"Camel ","",14,1.2,16,"King","F","HP","no"
"Camel* ","",15,1.2,16,"King","F","HP","no"
"Camel ","Wides",17,1.2,17,"King","F","HP","no"
"Camel* ","",17,1.1,17,"King","F","HP","yes"
"Camel* ","",15,1.2,17,"King","F","HP","yes"
"Camel* ","Lt",11,0.8,10,"King","F","HP","no"
"Camel ","Lt",11,0.8,11,"King","F","HP","no"
"Camel ","LtSpecial",11,0.8,10,"King","F","HP","no"
"Camel ","LtWides",11,0.9,11,"King","F","HP","no"
"Camel* ","Lt",13,0.8,10,"King","F","HP","yes"
"Camel* ","Lt",11,0.9,11,"King","F","HP","yes"
"Camel ","Ultra-Lt",8,0.5,5,"King","F","HP","no"
"Camel ","",15,1.2,17,"King","F","SP","no"
"Camel ","Lt",12,0.9,11,"King","F","SP","no"
"Camel ","LtSpecial",13,0.9,11,"King","F","SP","no"
"Camel ","Ultra-Lt",6,0.4,5,"King","F","SP","no"
"Camel ","",17,1.7,25,"Reg","NF","SP","no"
"Canadian Players* ","LtSmooth",16,1.3,13,"King","F","HP","no"
"Canadian Players* ","LtSmooth",13,1.2,13,"Reg","F","HP","no"
"Canadian Players* ","Medium",15,1.2,13,"Reg","F","HP","no"
"Capri ","Sup-Slim",6,0.7,9,"100","F","HP","no"
"Capri ","LtSup-Slim",6,0.8,9,"100","F","HP","yes"
"Capri ","Ultra-Lt",5,0.5,5,"100","F","HP","no"
"Capri ","Ultra-Lt",4,0.5,5,"100","F","HP","yes"
"Capri ","Sup-Slim",9,1,13,"120","F","HP","no"
"Capri ","Sup-Slim",8,0.9,12,"120","F","HP","yes"
"Cardinal* ","FF",18,0.8,13,"100","F","SP","no"
"Cardinal* ","FF",17,0.8,13,"100","F","SP","yes"
"Cardinal* ","Lt",12,0.7,9,"100","F","SP","no"
"Cardinal* ","Lt",12,0.7,10,"100","F","SP","yes"
"Cardinal* ","Ultra",8,0.3,4,"100","F","SP","no"
"Cardinal* ","FF",16,0.9,15,"King","F","HP","no"
"Cardinal* ","Lt",12,0.6,9,"King","F","HP","no"
"Cardinal* ","FF",16,0.8,14,"King","F","SP","no"
"Cardinal* ","FF",17,0.8,14,"King","F","SP","yes"
"Cardinal* ","Lt",13,0.7,10,"King","F","SP","no"
"Cardinal* ","Lt",12,0.6,9,"King","F","SP","yes"
"Cardinal* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Cardinal* ","",16,1.1,20,"King","NF","SP","no"
"Carlton ","Lt",1,0.1,1,"100","F","HP","no"
"Carlton ","Lt<0.5",1,0.1,0.5,"100","F","HP","yes"
"Carlton ","Lt",2,0.2,1,"100","F","SP","no"
"Carlton ","Lt",2,0.2,2,"100","F","SP","yes"
"Carlton ","Lt",4,0.5,5,"120","F","SP","no"
"Carlton ","Lt",4,0.5,5,"120","F","SP","yes"
"Carlton ","",1,0.1,1,"King","F","HP","no"
"Carlton* ","",6,0.4,4,"King","F","HP","yes"
"Carlton ","Lt",1,0.1,1,"King","F","SP","yes"
"Cavalier* ","FF",18,0.8,13,"100","F","SP","no"
"Cavalier* ","FF",17,0.8,13,"100","F","SP","yes"
"Cavalier* ","Lt",12,0.7,9,"100","F","SP","no"
"Cavalier* ","Lt",12,0.7,10,"100","F","SP","yes"
"Cavalier* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Cavalier* ","FF",16,0.8,14,"King","F","SP","no"
"Cavalier* ","FF",17,0.8,14,"King","F","SP","yes"
"Cavalier* ","Lt",13,0.7,10,"King","F","SP","no"
"Cavalier* ","Lt",12,0.6,9,"King","F","SP","yes"
"Cavalier* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Cavalier* ","",16,1.1,20,"King","NF","SP","no"
"Century ","",17,0.9,14,"100","F","SP","no"
"Century ","Lt",13,0.7,9,"100","F","SP","no"
"Century ","Lt25-pk",12,0.6,8,"100","F","SP","yes"
"Century ","",16,0.7,13,"King","F","SP","no"
"Century ","Lt",12,0.5,8,"King","F","SP","no"
"Charter* ","FF",18,0.8,13,"100","F","SP","no"
"Charter* ","Lt",12,0.7,9,"100","F","SP","no"
"Charter* ","Lt",12,0.7,10,"100","F","SP","yes"
"Charter* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Charter* ","FF",16,0.9,15,"King","F","HP","no"
"Charter* ","Lt",12,0.6,9,"King","F","HP","no"
"Charter* ","FF",16,0.8,14,"King","F","SP","no"
"Charter* ","Lt",13,0.7,10,"King","F","SP","no"
"Charter* ","Lt",12,0.6,9,"King","F","SP","yes"
"Charter* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Chesterfield ","Lt",9,1.1,11,"100","F","SP","no"
"Chesterfield ","FF",2,1.4,17,"King","F","SP","no"
"Chesterfield ","Lt",9,1.1,11,"King","F","SP","no"
"Chesterfield ","FF",17,1.4,24,"King","NF","SP","no"
"Chesterfield ","FF",14,1.1,20,"Reg","NF","SP","no"
"Cimarron* ","FF",18,0.8,13,"100","F","SP","no"
"Cimarron* ","FF",17,0.8,13,"100","F","SP","yes"
"Cimarron* ","Lt",12,0.7,9,"100","F","SP","no"
"Cimarron* ","Lt",12,0.7,10,"100","F","SP","yes"
"Cimarron* ","Ultra",8,0.3,4,"100","F","SP","no"
"Cimarron* ","FF",16,0.9,15,"King","F","HP","no"
"Cimarron* ","Lt",12,0.6,9,"King","F","HP","no"
"Cimarron* ","FF",16,0.8,14,"King","F","SP","no"
"Cimarron* ","FF",17,0.8,14,"King","F","SP","yes"
"Cimarron* ","Lt",13,0.7,10,"King","F","SP","no"
"Cimarron* ","Lt",12,0.6,9,"King","F","SP","yes"
"Cimarron* ","Ultra",6,0.3,4,"King","F","SP","no"
"Cimarron* ","",16,1.1,20,"King","NF","SP","no"
"Citation* ","FF",18,0.8,13,"100","F","SP","no"
"Citation* ","FF",17,0.8,13,"100","F","SP","yes"
"Citation* ","Lt",12,0.7,9,"100","F","SP","no"
"Citation* ","Lt",12,0.7,10,"100","F","SP","yes"
"Citation* ","Ultra",8,0.3,4,"100","F","SP","no"
"Citation* ","FF",16,0.8,14,"King","F","SP","no"
"Citation* ","FF",17,0.8,14,"King","F","SP","yes"
"Citation* ","Lt",13,0.7,10,"King","F","SP","no"
"Citation* ","Lt",12,0.6,9,"King","F","SP","yes"
"Citation* ","Ultra",6,0.3,4,"King","F","SP","no"
"Citation* ","",16,1.1,20,"King","NF","SP","no"
"Class A* ","FF",20,0.8,15,"100","F","SP","no"
"Class A* ","FF",20,0.8,15,"100","F","SP","yes"
"Class A* ","Lt",15,0.6,10,"100","F","SP","no"
"Class A* ","Lt",15,0.6,10,"100","F","SP","yes"
"Class A* ","Ultra-Lt",8,0.4,6,"100","F","SP","no"
"Class A* ","Ultra-Lt",8,0.4,6,"100","F","SP","yes"
"Class A* ","FF",18,0.7,14,"King","F","SP","no"
"Class A* ","FF",18,0.7,14,"King","F","SP","yes"
"Class A* ","Lt",14,0.6,10,"King","F","SP","no"
"Class A* ","Lt",14,0.6,10,"King","F","SP","yes"
"Class A* ","Ultra-Lt",6,0.4,6,"King","F","SP","no"
"Class A* ","FF",15,1.4,23,"King","NF","SP","no"
"Class A DIx* ","FF",20,0.8,15,"100","F","SP","no"
"Class A DIx* ","Lt",15,0.6,10,"100","F","SP","no"
"Class A Dlx* ","Lt",15,0.6,10,"100","F","SP","yes"
"Class A DIx* ","Ultra-Lt",8,0.4,6,"100","F","SP","no"
"Class A DIx* ","FF",18,0.7,14,"King","F","SP","no"
"Class A Dlx* ","FF",18,0.7,14,"King","F","SP","yes"
"Class A DIx* ","Lt",14,0.6,10,"King","F","SP","no"
"Class A Dlx* ","Lt",14,0.6,10,"King","F","SP","yes"
"Class A Dlx* ","Ultra-Lt",6,0.4,6,"King","F","SP","no"
"Class A DIx* ","FF",15,1.4,23,"King","NF","SP","no"
"Commander ","",17,1.7,27,"King","NF","SP","no"
"Commander ","",13,1.4,22,"Reg","NF","SP","no"
"Courier* ","FF",18,0.8,13,"100","F","SP","no"
"Courier* ","Lt",12,0.7,9,"100","F","SP","no"
"Courier* ","Lt",12,0.7,10,"100","F","SP","yes"
"Courier* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Courier* ","FF",16,0.9,15,"King","F","HP","no"
"Courier* ","Lt",12,0.6,9,"King","F","HP","no"
"Courier* ","FF",16,0.8,14,"King","F","SP","no"
"Courier* ","Lt",13,0.7,10,"King","F","SP","no"
"Courier* ","Lt",12,0.6,9,"King","F","SP","yes"
"Courier* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Covington ","FF",20,0.8,15,"100","F","SP","no"
"Covington ","Lt",5,0.6,10,"100","F","SP","no"
"Covington ","Lt",15,0.6,10,"100","F","SP","yes"
"Covington ","Ultra-Lt",8,0.4,6,"100","F","SP","no"
"Covington ","FF",18,0.7,14,"King","F","SP","no"
"Covington ","FF",18,0.7,14,"King","F","SP","yes"
"Covington ","Lt",14,0.6,10,"King","F","SP","no"
"Daves ","",17,1,16,"King","F","HP","no"
"Daves ","Lt",13,0.7,10,"King","F","HP","no"
"Director's Choice ","Lt",12,0.7,9,"100","F","SP","no"
"Director's Choice* ","FF",18,0.8,13,"100","F","SP","no"
"Director's Choice* ","FF",17,0.8,13,"100","F","SP","yes"
"Director's Choice* ","Lt",12,0.7,10,"100","F","SP","yes"
"Director's Choice* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Director's Choice* ","FF",16,0.9,15,"King","F","HP","no"
"Director's Choice* ","Lt",12,0.6,9,"King","F","HP","no"
"Director's Choice* ","FF",16,0.8,14,"King","F","SP","no"
"Director's Choice* ","FF",17,0.8,14,"King","F","SP","yes"
"Director's Choice* ","Lt",13,0.7,10,"King","F","SP","no"
"Director's Choice* ","Lt",12,0.6,9,"King","F","SP","yes"
"Director's Choice* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Director's Choice* ","",16,1.1,20,"King","NF","SP","no"
"Doral* ","FF",14,0.8,12,"100","F","HP","no"
"Doral* ","Lt",13,0.8,11,"100","F","HP","no"
"Doral ","FF",16,0.8,12,"100","F","SP","no"
"Doral ","FF",15,0.8,12,"100","F","SP","yes"
"Doral ","Lt",14,0.7,10,"100","F","SP","no"
"Doral ","Lt",14,0.7,10,"100","F","SP","yes"
"Doral ","Ultra-Lt",7,0.3,4,"100","F","SP","no"
"Doral ","FF",14,0.8,13,"King","F","HP","no"
"Doral* ","FF",14,0.8,13,"King","F","HP","yes"
"Doral ","Lt",11,0.5,8,"King","F","HP","no"
"Doral ","FF",15,0.8,13,"King","F","SP","no"
"Doral ","FF",14,0.8,14,"King","F","SP","yes"
"Doral ","Lt",12,0.5,8,"King","F","SP","no"
"Doral ","Lt",12,0.5,8,"King","F","SP","yes"
"Doral ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Doral ","",16,1,20,"King","NF","SP","no"
"Eclipse* ","",9,0.2,4,"King","F","HP","no"
"Eclipse* ","",9,0.1,4,"King","F","HP","yes"
"Eclipse* ","Mild",8,0.1,3,"King","F","HP","no"
"Eclipse* ","Mild",8,0.1,3,"King","F","HP","yes"
"English Ovals ","",15,2,26,"King","NF","HP","no"
"Eve 100* ","LtSlim",4,0.5,5,"100","F","HP","no"
"Eve 100* ","Ultra-LtSlim",4,0.6,6,"100","F","HP","yes"
"Eve 120 ","Lt",12,0.9,11,"120","F","HP","no"
"Eve 120 ","Lt",11,0.8,11,"120","F","HP","yes"
"Eve 120 ","Ultra-Lt",5,0.5,5,"120","F","HP","no"
"Eve 120 ","Ultra-Lt",5,0.4,5,"120","F","HP","yes"
"Extra Value* ","FF",18,0.8,13,"100","F","SP","no"
"Extra Value* ","FF",17,0.8,13,"100","F","SP","yes"
"Extra Value* ","Lt",12,0.7,9,"100","F","SP","no"
"Extra Value* ","Lt",12,0.7,10,"100","F","SP","yes"
"Extra Value* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Extra Value* ","FF",16,0.8,14,"King","F","SP","no"
"Extra Value* ","FF",17,0.8,14,"King","F","SP","yes"
"Extra Value* ","Lt",13,0.7,10,"King","F","SP","no"
"Extra Value* ","Lt",12,0.6,9,"King","F","SP","yes"
"Extra Value* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Extra Value* ","",16,1.1,20,"King","NF","SP","no"
"First Choice* ","FF",18,1.1,16,"100","F","HP","no"
"First Choice* ","Lt",13,0.7,10,"100","F","HP","no"
"First Choice* ","FF",18,0.8,13,"100","F","SP","no"
"First Choice* ","Lt",12,0.7,9,"100","F","SP","no"
