"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
18,13222577,92196760,52,2,1,1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",3,40.6,"yes",1,8,1.14,0.37,0.435,1.106,3.57,1.43,5,210.2
18,92196760,92163240,53,1,2,1,-0.71,-0.41,-0.72,0.91,0.62,0.53,-1.03,"long",3,86.5,"no",0,37.5,0,0.31,0.391,1.106,3.8,1.69,4.1,210.2
18,92163240,92196760,53,2,1,1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",2,102,"no",0,15,0,0.32,0.174,0.829,1.64,1.23,4.58,210.2
18,13222577,92163240,54,1,2,1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",3,40.6,"yes",1,8,1,0.37,0.435,1.106,3.57,1.43,5,210.2
18,92163240,13222577,54,2,2,1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",2,102,"no",0,15,-1,0.32,0.174,0.829,1.64,1.23,4.58,210.2
19,65171896,53374348,55,1,1,0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",2,81,NA,NA,NA,0.14,0.13,0.167,0.001,1.46,0.001,5.8,190.7
19,53374348,65171896,55,2,1,0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",2,79.4,NA,NA,NA,-0.14,0.77,0.667,0.001,1.01,0.001,3.53,190.7
19,65171896,13243039,56,1,2,0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",2,81,NA,NA,NA,0.29,0.13,0.167,0.001,1.46,0.001,5.8,190.7
19,13243039,65171896,56,2,1,0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",2,101,NA,NA,NA,-0.29,0.09,0.167,0.001,2.06,0.001,8.91,190.7
19,53374348,13243039,57,1,2,0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",2,79.4,NA,NA,NA,-0.29,0.77,0.667,0.001,1.01,0.001,3.53,190.7
19,13243039,53374348,57,2,2,0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",2,101,NA,NA,NA,0.29,0.09,0.167,0.001,2.06,0.001,8.91,190.7
20,34112504,53399896,58,1,1,1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",2,44.4,"no",0,17.5,-2,0.48,0.52,1.452,3.04,1.41,5.87,216.9
20,53399896,34112504,58,2,1,1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",2,44.3,"no",0,17.5,2,0.13,0.28,0.242,6.19,0.88,9.82,216.9
20,34112504,13255672,59,1,2,1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",2,44.4,"no",0,17.5,-1.71,0.48,0.52,1.452,3.04,1.41,5.87,216.9
20,13255672,34112504,59,2,1,1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",3,120.1,"yes",1,28,1.71,0.4,0.2,0.001,1.4,0.001,5.31,216.9
20,53399896,13255672,60,1,2,1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",2,44.3,"no",0,17.5,0.71,0.13,0.28,0.242,6.19,0.88,9.82,216.9
20,13255672,53399896,60,2,2,1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",3,120.1,"yes",1,28,-0.71,0.4,0.2,0.001,1.4,0.001,5.31,216.9
21,13244446,92133400,61,1,1,1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",3,40,"yes",1,15.5,0.14,0.67,0.533,0.001,1.53,0.001,4.24,188.8
21,92133400,13244446,61,2,1,1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",2,138.2,"no",0,15,-0.14,0.23,0.333,1.22,2.76,2.76,4.74,188.8
21,13244446,92147440,62,1,2,1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",3,40,"yes",1,15.5,-0.42,0.67,0.533,0.001,1.53,0.001,4.24,188.8
21,92147440,13244446,62,2,1,1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",2,26.9,"no",0,15.5,0.42,0.09,0.133,0.001,2.82,0.001,5.6,188.8
21,92133400,92147440,63,1,2,1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",2,138.2,"no",0,15,-0.42,0.23,0.333,1.22,2.76,2.76,4.74,188.8
21,92147440,92133400,63,2,2,1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",2,26.9,"no",0,15.5,0.42,0.09,0.133,0.001,2.82,0.001,5.6,188.8
22,92189960,92121416,64,1,1,1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",3,76.6,"no",0,37.5,-0.14,0.21,0.167,0.363,1.23,0.82,3.83,213.8
22,92121416,92189960,64,2,1,1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",3,35.5,"yes",1,25,0.14,0.45,0.722,1.269,2.43,1.31,4.22,213.8
22,92189960,92128952,65,1,2,1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",3,76.6,"no",0,37.5,1,0.21,0.167,0.363,1.23,0.82,3.83,213.8
22,92128952,92189960,65,2,1,1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",2,46.5,"no",0,15.5,-1,0.34,0.111,0.906,0.5,1.25,3.65,213.8
22,92121416,92128952,66,1,2,1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",3,35.5,"yes",1,25,1.29,0.45,0.722,1.269,2.43,1.31,4.22,213.8
22,92128952,92121416,66,2,2,1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",2,46.5,"no",0,15.5,-1.29,0.34,0.111,0.906,0.5,1.25,3.65,213.8
23,92117584,92120176,67,1,1,1,-0.84,-1.15,-1.12,1.54,1.59,0.69,0.07,"short",2,66.4,NA,NA,37.5,0.29,0.37,0.364,0.563,1.39,0.69,5.56,218.6
23,92120176,92117584,67,2,1,1,-1.23,0.07,-0.92,-0.56,-0.24,-0.42,0.43,"short",2,46.2,NA,NA,15,-0.29,0.31,0.455,1.408,2.05,2.05,7.3,218.6
23,92117584,92152096,68,1,2,1,-0.84,-1.15,-1.12,1.54,1.59,0.69,0.07,"short",2,66.4,NA,NA,37.5,-0.57,0.37,0.364,0.563,1.39,0.69,5.56,218.6
23,92152096,92117584,68,2,1,1,-0.05,0.32,0.09,-0.14,-0.7,-1,0.43,"short",2,69.8,NA,NA,8,0.57,0.31,0.182,0.845,0.82,1.23,6.33,218.6
23,92120176,92152096,69,1,2,1,-1.23,0.07,-0.92,-0.56,-0.24,-0.42,0.43,"short",2,46.2,NA,NA,15,0.14,0.31,0.455,1.408,2.05,2.05,7.3,218.6
23,92152096,92120176,69,2,2,1,-0.05,0.32,0.09,-0.14,-0.7,-1,0.43,"short",2,69.8,NA,NA,8,-0.14,0.31,0.182,0.845,0.82,1.23,6.33,218.6
24,92180424,92187328,70,1,1,1,0.08,1.29,0.59,-0.46,-0.43,-0.83,-0.67,"tanktop",1,62.4,NA,NA,30.5,-1,0.24,0.143,1.196,0.81,2.42,4.1,206
24,92187328,92180424,70,2,1,1,-0.71,-0.9,-0.92,-1.61,0.91,1,0.43,"short",2,41.3,NA,NA,8,1,0.48,0.429,0.199,1.2,0.2,3.56,206
24,92180424,92160008,71,1,2,1,0.08,1.29,0.59,-0.46,-0.43,-0.83,-0.67,"tanktop",1,62.4,NA,NA,30.5,-1.33,0.24,0.143,1.196,0.81,2.42,4.1,206
24,92160008,92180424,71,2,1,1,-0.84,0.32,-0.52,0.07,0.12,-1.02,-0.67,"short",2,88.3,NA,NA,19,1.33,0.28,0.429,0.399,2.11,0.7,5.25,206
24,92187328,92160008,72,1,2,1,-0.71,-0.9,-0.92,-1.61,0.91,1,0.43,"short",2,41.3,NA,NA,8,0.43,0.48,0.429,0.199,1.2,0.2,3.56,206
24,92160008,92187328,72,2,2,1,-0.84,0.32,-0.52,0.07,0.12,-1.02,-0.67,"short",2,88.3,NA,NA,19,-0.43,0.28,0.429,0.399,2.11,0.7,5.25,206
25,71313768,71335744,73,1,1,0,2.97,0.8,2.61,0.4,2.87,2.24,-0.07,"short",2,39.4,"yes",1,21.5,-0.43,0.37,0.8,0.234,3.21,0.27,4.35,236.5
25,71335744,71313768,73,2,1,0,-1.63,0.32,-1.12,0.94,0.44,0.37,-0.88,"short",2,72.2,"no",0,27.5,0.43,0.13,0.067,0.234,0.74,0.74,10.85,236.5
25,71313768,71381984,74,1,2,0,2.97,0.8,2.61,0.4,2.87,2.24,-0.07,"short",2,39.4,"yes",1,21.5,0.57,0.37,0.8,0.234,3.21,0.27,4.35,236.5
25,71381984,71313768,74,2,1,0,-0.05,-1.88,-0.82,2.15,-0.68,-0.5,-1.28,"short",2,58.8,"no",0,10.5,-0.57,0.5,0.133,0.938,0.4,0.8,6.02,236.5
25,71335744,71381984,75,1,2,0,-1.63,0.32,-1.12,0.94,0.44,0.37,-0.88,"short",2,72.2,"no",0,27.5,0.71,0.13,0.067,0.234,0.74,0.74,10.85,236.5
25,71381984,71335744,75,2,2,0,-0.05,-1.88,-0.82,2.15,-0.68,-0.5,-1.28,"short",2,58.8,"no",0,10.5,-0.71,0.5,0.133,0.938,0.4,0.8,6.02,236.5
26,92111952,13247593,76,1,1,1,-0.05,-1.15,-0.52,-1.19,0.68,0.06,-1.03,"short",2,91.3,"no",0,12.5,0.43,0.27,0.292,0.382,2.47,0.71,2.51,200
26,13247593,92111952,76,2,1,1,-1.1,0.07,-0.82,-1.08,0.57,0.46,-0.67,"short",2,74.1,"no",0,38,-0.43,0.35,0.5,1.338,3.25,1.9,4.32,200
26,92111952,92115608,77,1,2,1,-0.05,-1.15,-0.52,-1.19,0.68,0.06,-1.03,"short",2,91.3,"no",0,12.5,1.43,0.27,0.292,0.382,2.47,0.71,2.51,200
26,92115608,92111952,77,2,1,1,-0.97,0.32,-0.62,-1.4,-0.89,-0.78,-0.3,"short",2,59.2,"yes",1,28,-1.43,0.38,0.208,0.574,1.27,1.02,6.02,200
26,13247593,92115608,78,1,2,1,-1.1,0.07,-0.82,-1.08,0.57,0.46,-0.67,"short",2,74.1,"no",0,38,0.43,0.35,0.5,1.338,3.25,1.9,4.32,200
26,92115608,13247593,78,2,2,1,-0.97,0.32,-0.62,-1.4,-0.89,-0.78,-0.3,"short",2,59.2,"yes",1,28,-0.43,0.38,0.208,0.574,1.27,1.02,6.02,200
27,92134032,92185696,79,1,1,1,-0.71,0.07,-0.52,-0.63,-1.27,-0.97,-0.3,"short",2,50.6,"no",0,30,0,0.54,0.412,1.55,1.33,1.14,5.77,250.4
27,92185696,92134032,79,2,1,1,-0.05,0.8,0.29,-0.14,-0.26,-0.07,-0.3,"short",2,44.4,"no",0,38,0,0.12,0.235,1.55,3.42,5.13,8.18,250.4
27,92134032,92168168,80,1,2,1,-0.71,0.07,-0.52,-0.63,-1.27,-0.97,-0.3,"short",2,50.6,"no",0,30,0.71,0.54,0.412,1.55,1.33,1.14,5.77,250.4
27,92168168,92134032,80,2,1,1,-0.97,-0.17,-0.82,2.07,-0.37,0.18,-0.3,"short",2,48.1,"yes",1,15,-0.71,0.34,0.353,1.034,1.83,1.22,4.19,250.4
27,92185696,92168168,81,1,2,1,-0.05,0.8,0.29,-0.14,-0.26,-0.07,-0.3,"short",2,44.4,"no",0,38,0.43,0.12,0.235,1.55,3.42,5.13,8.18,250.4
27,92168168,92185696,81,2,2,1,-0.97,-0.17,-0.82,2.07,-0.37,0.18,-0.3,"short",2,48.1,"yes",1,15,-0.43,0.34,0.353,1.034,1.83,1.22,4.19,250.4
28,92110848,92190952,82,1,1,0,-0.71,-0.9,-0.92,0.34,-0.26,-0.24,-0.47,"short",2,40.1,"no",0,28,-1.57,0.34,0.524,0.773,3.79,1.03,6.21,222.4
28,92190952,92110848,82,2,1,0,-0.58,0.32,-0.32,-1.35,0.29,-1.17,-0.07,"long",3,62.3,"no",0,8,1.57,0.33,0.19,0.515,1.42,0.71,4.21,222.4
28,92110848,92136728,83,1,2,0,-0.71,-0.9,-0.92,0.34,-0.26,-0.24,-0.47,"short",2,40.1,"no",0,28,-0.86,0.34,0.524,0.773,3.79,1.03,6.21,222.4
28,92136728,92110848,83,2,1,0,-0.71,-1.39,-1.12,-0.14,0.29,1.39,1.54,"short",2,45.7,"yes",1,12,0.86,0.34,0.286,2.577,2.05,3.42,8.36,222.4
28,92190952,92136728,84,1,2,0,-0.58,0.32,-0.32,-1.35,0.29,-1.17,-0.07,"long",3,62.3,"no",0,8,0.86,0.33,0.19,0.515,1.42,0.71,4.21,222.4
28,92136728,92190952,84,2,2,0,-0.71,-1.39,-1.12,-0.14,0.29,1.39,1.54,"short",2,45.7,"yes",1,12,-0.86,0.34,0.286,2.577,2.05,3.42,8.36,222.4
29,92128432,13270103,85,1,1,0,0.87,0.32,0.79,1.75,1.09,1.65,-0.88,"short",2,119.8,"yes",1,24,-0.29,0.35,0.231,0.711,1.78,0.89,4.42,229.4
29,13270103,92128432,85,2,1,0,1,0.07,0.79,0.94,0.21,0.55,-1.28,"long",3,50.6,"no",0,15,0.29,0.4,0.615,0.948,4.08,1.02,6.8,229.4
29,92128432,13268957,86,1,2,0,0.87,0.32,0.79,1.75,1.09,1.65,-0.88,"short",2,119.8,"yes",1,24,-0.43,0.35,0.231,0.711,1.78,0.89,4.42,229.4
29,13268957,92128432,86,2,1,0,-0.32,0.56,-0.01,0.94,1.17,1.29,0.33,"short",2,68.3,"no",0,15,0.43,0.25,0.154,2.133,1.67,3.77,3.9,229.4
29,13270103,13268957,87,1,2,0,1,0.07,0.79,0.94,0.21,0.55,-1.28,"long",3,50.6,"no",0,15,1,0.4,0.615,0.948,4.08,1.02,6.8,229.4
29,13268957,13270103,87,2,2,0,-0.32,0.56,-0.01,0.94,1.17,1.29,0.33,"short",2,68.3,"no",0,15,-1,0.25,0.154,2.133,1.67,3.77,3.9,229.4
30,13239991,76161464,88,1,1,0,0.6,0.8,0.79,-0.99,0.08,0.51,0.33,"short",2,50.6,"no",0,8,-0.14,0.44,0.259,0.494,1.76,0.5,1.5,221.5
30,76161464,13239991,88,2,1,0,-0.45,-0.41,-0.52,-0.21,0.21,-0.28,-1.28,"long",3,51.6,"yes",1,6.5,0.14,0.16,0.259,0.741,5,2.14,7.09,221.5
30,13239991,92161280,89,1,2,0,0.6,0.8,0.79,-0.99,0.08,0.51,0.33,"short",2,50.6,"no",0,8,-0.29,0.44,0.259,0.494,1.76,0.5,1.5,221.5
30,92161280,13239991,89,2,1,0,1.26,0.8,1.3,-1.15,-0.14,-0.12,0.33,"short",2,NA,"no",0,5,0.29,0.4,0.481,0.247,3.61,0.28,4.02,221.5
30,76161464,92161280,90,1,2,0,-0.45,-0.41,-0.52,-0.21,0.21,-0.28,-1.28,"long",3,51.6,"yes",1,6.5,1.14,0.16,0.259,0.741,5,2.14,7.09,221.5
30,92161280,76161464,90,2,2,0,1.26,0.8,1.3,-1.15,-0.14,-0.12,0.33,"short",2,NA,"no",0,5,-1.14,0.4,0.481,0.247,3.61,0.28,4.02,221.5
31,13235903,92189576,91,1,1,0,1.79,0.07,1.4,1.52,0.75,0.03,-0.47,"long",3,60.4,"yes",1,28,-0.29,0.47,0.519,0.795,2.63,0.75,6.58,225.2
31,92189576,13235903,91,2,1,0,1,-0.66,0.49,-0.05,-1.18,-1,1.95,"long",3,30.4,"no",0,37.5,0.29,0.21,0.185,1.988,2.1,4.2,2.08,225.2
31,13235903,92163648,92,1,2,0,1.79,0.07,1.4,1.52,0.75,0.03,-0.47,"long",3,60.4,"yes",1,28,-0.29,0.47,0.519,0.795,2.63,0.75,6.58,225.2
31,92163648,13235903,92,2,1,0,-0.97,0.8,-0.42,-0.51,-0.78,-1.12,1.54,"short",2,49.9,"no",0,23.5,0.29,0.32,0.296,1.59,2.2,2.2,7.41,225.2
31,92189576,92163648,93,1,2,0,1,-0.66,0.49,-0.05,-1.18,-1,1.95,"long",3,30.4,"no",0,37.5,-0.14,0.21,0.185,1.988,2.1,4.2,2.08,225.2
31,92163648,92189576,93,2,2,0,-0.97,0.8,-0.42,-0.51,-0.78,-1.12,1.54,"short",2,49.9,"no",0,23.5,0.14,0.32,0.296,1.59,2.2,2.2,7.41,225.2
32,13217442,92157016,94,1,1,0,0.87,-1.88,-0.12,-0.99,-1.29,-1.28,-0.47,"short",2,119.1,NA,NA,3,1.43,0.26,0.273,0.741,2.24,1.12,7.06,251.4
32,92157016,13217442,94,2,1,0,0.74,0.8,0.89,2.31,0.48,-0.22,-0.88,"short",2,51.4,NA,NA,28.5,-1.43,0.19,0.136,1.235,1.56,2.6,8.67,251.4
32,13217442,72185024,95,1,2,0,0.87,-1.88,-0.12,-0.99,-1.29,-1.28,-0.47,"short",2,119.1,NA,NA,3,0.67,0.26,0.273,0.741,2.24,1.12,7.06,251.4
32,72185024,13217442,95,2,1,0,-0.45,-1.88,-1.12,-1.78,-0.3,0.42,0.33,"short",2,38.8,NA,NA,16.5,-0.67,0.55,0.591,0.988,2.33,0.72,5.35,251.4
32,92157016,72185024,96,1,2,0,0.74,0.8,0.89,2.31,0.48,-0.22,-0.88,"short",2,51.4,NA,NA,28.5,-1.14,0.19,0.136,1.235,1.56,2.6,8.67,251.4
32,72185024,92157016,96,2,2,0,-0.45,-1.88,-1.12,-1.78,-0.3,0.42,0.33,"short",2,38.8,NA,NA,16.5,1.14,0.55,0.591,0.988,2.33,0.72,5.35,251.4
33,13245660,13212001,97,1,1,0,0.08,-1.39,-0.52,0.42,0.03,1.21,0.74,"short",2,77.9,"yes",1,7,-0.57,0.32,0.458,2.434,2.94,3.21,5.01,236.7
33,13212001,13245660,97,2,1,0,3.23,1.05,2.91,0.26,-0.71,0.18,-0.07,"long",3,82.3,"no",0,24,0.57,0.44,0.25,1.217,1.17,1.17,5.59,236.7
33,13245660,92164496,98,1,2,0,0.08,-1.39,-0.52,0.42,0.03,1.21,0.74,"short",2,77.9,"yes",1,7,-0.71,0.32,0.458,2.434,2.94,3.21,5.01,236.7
33,92164496,13245660,98,2,1,0,0.87,0.07,0.69,-0.99,1.27,2.14,-1.28,"short",2,96.1,"no",0,11,0.71,0.24,0.292,1.217,2.48,2.13,7.06,236.7
33,13212001,92164496,99,1,2,0,3.23,1.05,2.91,0.26,-0.71,0.18,-0.07,"long",3,82.3,"no",0,24,0.86,0.44,0.25,1.217,1.17,1.17,5.59,236.7
33,92164496,13212001,99,2,2,0,0.87,0.07,0.69,-0.99,1.27,2.14,-1.28,"short",2,96.1,"no",0,11,-0.86,0.24,0.292,1.217,2.48,2.13,7.06,236.7
34,13297258,92164144,100,1,1,0,1,0.56,1,0.58,-0.41,-0.22,-0.47,"short",2,43,"no",0,6,-0.89,0.31,0.438,0.815,3.2,1.37,6.13,190.2
34,92164144,13297258,100,2,1,0,-1.63,-0.9,-1.63,-0.52,-1.53,-0.81,0.74,"long",3,70.6,"yes",1,9,0.89,0.3,0.125,0.272,0.95,0.47,6.82,190.2
34,13297258,92162560,101,1,2,0,1,0.56,1,0.58,-0.41,-0.22,-0.47,"short",2,43,"no",0,6,0.29,0.31,0.438,0.815,3.2,1.37,6.13,190.2
34,92162560,13297258,101,2,1,0,-0.71,0.07,-0.52,0.26,-1.01,-1.53,0.33,"short",2,NA,"no",0,38,-0.29,0.39,0.438,0.815,2.59,1.11,14.18,190.2
34,92164144,92162560,102,1,2,0,-1.63,-0.9,-1.63,-0.52,-1.53,-0.81,0.74,"long",3,70.6,"yes",1,9,0.8,0.3,0.125,0.272,0.95,0.47,6.82,190.2
34,92162560,92164144,102,2,2,0,-0.71,0.07,-0.52,0.26,-1.01,-1.53,0.33,"short",2,NA,"no",0,38,-0.8,0.39,0.438,0.815,2.59,1.11,14.18,190.2
35,92169280,92161768,103,1,1,0,-0.05,-0.9,-0.42,-1.62,0.15,0.63,1.14,"short",2,59.3,"no",0,19,0.78,0.45,0.313,0.718,1.08,0.86,6.21,186.7
35,92161768,92169280,103,2,1,0,-0.58,0.07,-0.42,-0.68,-1.42,-1.54,0.33,"short",2,119.1,"no",0,5,-0.78,0.09,0.188,0.539,3.26,3.26,9.68,186.7
35,92169280,92121600,104,1,2,0,-0.05,-0.9,-0.42,-1.62,0.15,0.63,1.14,"short",2,59.3,"no",0,19,0.86,0.45,0.313,0.718,1.08,0.86,6.21,186.7
35,92121600,92169280,104,2,1,0,-1.1,1.05,-0.42,-0.84,1.59,0.96,0.33,"short",2,128.9,"yes",1,24,-0.86,0.46,0.5,0.359,1.66,0.41,4.37,186.7
35,92161768,92121600,105,1,2,0,-0.58,0.07,-0.42,-0.68,-1.42,-1.54,0.33,"short",2,119.1,"no",0,5,0.6,0.09,0.188,0.539,3.26,3.26,9.68,186.7
35,92121600,92161768,105,2,2,0,-1.1,1.05,-0.42,-0.84,1.59,0.96,0.33,"short",2,128.9,"yes",1,24,-0.6,0.46,0.5,0.359,1.66,0.41,4.37,186.7
