"price","sqft_living","sqft_lot"
485000,1600,4300
570000,1260,3328
518500,1590,1102
822500,2320,4960
511000,1430,3455
532170,1360,3090
615000,1330,2400
480000,1030,3060
481000,1560,3000
548000,1470,3864
640000,1070,5000
791500,1510,3500
437500,990,3120
450000,1290,1213
482000,950,3960
1e+06,2610,3277
595000,1510,4000
880000,2870,5163
531000,1270,1175
340000,1100,1760
565000,960,4080
715000,2000,4800
650000,1340,2720
825000,2010,3090
466000,1140,1058
720000,2020,1159
7e+05,1980,4560
280300,920,5000
415000,1480,2200
690000,970,4560
492000,880,2970
310000,700,3000
265000,1120,881
340000,1240,1115
780000,2440,3600
450000,1250,2890
830000,2920,2808
425000,2110,4920
715000,1760,5400
640000,1530,4944
352950,1760,3000
495000,970,4284
650000,1710,5992
610000,2130,2620
440000,1610,5500
635000,2820,4000
775000,2980,5000
780000,1940,4800
487250,1690,3250
712000,1250,4620
805000,1080,3200
1125000,3010,4360
8e+05,1790,3952
725000,1950,2719
627500,1560,4080
430000,950,4625
470450,1010,3400
462000,1380,4300
8e+05,2130,2800
8e+05,1740,5719
440000,1780,4000
405000,1260,4377
990000,3450,4940
5e+05,950,4500
510000,1600,4510
679000,1420,4923
392450,2195,2681
425000,1680,3000
695000,1140,3990
415000,1500,3399
475000,2320,5534
670000,2500,5000
579000,1990,4040
645000,2340,6750
709000,1680,4087
245000,910,6630
350000,1350,3880
499000,1450,3090
450000,1430,3480
479000,1370,3000
335000,1430,1249
430000,1090,4013
685000,1090,4013
409500,1340,4120
660000,1240,3500
7e+05,2230,4635
660000,1070,5000
440000,1550,2401
625000,1240,4080
613000,1550,4815
750000,1640,6516
405000,880,3000
967000,1860,4356
389000,850,3276
802000,2170,5001
525000,1550,6840
1015000,2700,4590
540000,1270,3840
480000,1060,3040
280000,800,1196
695000,3160,3990
416000,1710,1296
440000,1290,1286
425000,830,6030
433500,1540,9450
720000,2530,5000
390000,980,3800
599999,3830,6988
825000,4080,7500
579100,1070,2754
552000,1380,951
1045000,2950,4560
875000,2850,4416
486700,1200,6278
527500,1170,3000
912000,1980,4095
752000,3810,6663
450000,1450,2550
680000,1820,3008
4e+05,1350,3090
407000,1430,1448
626500,1610,3210
725000,3110,5000
775000,1860,3040
630000,1260,5300
745000,2290,5001
716100,1640,4000
720000,1760,4500
430000,1350,9000
465000,1120,1201
599000,1590,4280
547000,2200,4080
764000,1420,4080
453000,1880,5100
702500,2360,6750
798750,2160,2578
1165000,3920,4500
515000,970,3300
475000,1790,2250
395000,1010,3060
549000,1340,3000
832600,1640,4200
1297000,2630,9420
678500,1210,3600
532500,820,3000
1315000,3460,3997
767500,2350,4815
3e+05,2120,6350
640000,1760,4400
578888,1060,4000
480000,1250,1103
720000,1580,2199
1e+06,2100,4560
629000,2050,3000
650000,2400,3500
730000,2160,8809
665000,1730,3000
450000,1150,4500
447500,1180,5100
980000,2750,6000
370000,800,2296
526000,1550,2400
620000,990,4332
780000,2430,4524
1030000,2750,4800
510000,1310,4000
650000,1840,3075
7e+05,2090,7440
650000,2160,3139
1695000,3320,5354
360000,1255,1113
625000,1230,3060
549000,1980,6000
550000,1700,1481
393000,830,5000
539000,2170,3200
575575,1516,2897
313000,870,747
320000,1110,1200
599000,1960,2500
406100,1410,1332
550000,1070,3000
355000,1370,1524
560000,1790,3420
725000,2110,5800
870000,2420,5000
499950,1830,3000
587206,1890,1710
515000,1060,4960
875000,2010,4000
280000,1100,5132
380500,1270,1348
550000,980,3080
460000,1140,4600
345000,1210,1420
875000,1670,4600
455000,1170,6000
1e+06,3320,8587
585000,2000,3750
785000,2180,5440
450000,2200,4466
980000,2190,4560
342000,1260,1634
775000,1720,5000
565000,1260,4080
459500,1170,1079
810000,1760,4080
475000,2020,5100
382000,1410,1253
510000,1420,1309
349950,1420,1162
452000,1530,5032
601150,1660,5200
588000,1780,4200
5e+05,1370,3500
760500,1990,3990
470000,1220,4000
604000,1560,2589
425000,1410,1350
452000,1210,3760
428750,1100,4080
7e+05,1910,4800
720000,1590,5200
503045,1560,2250
569950,1140,5940
7e+05,2310,3570
842000,1620,4774
412133,920,4400
715000,2080,2250
780000,2080,2250
432500,1980,5100
826000,1060,6120
587750,890,4730
429000,1410,1246
533000,1280,1085
913000,2170,4000
685000,2210,5000
1008000,2650,3060
398500,1780,1311
850000,1910,4800
734000,2145,3840
275000,680,4190
760000,3810,6150
350000,1160,5395
432000,960,3235
550000,3440,8100
920000,3300,4218
680200,1960,6000
616500,1880,3000
475000,820,2723
393000,980,3350
4e+05,1460,1319
749500,2490,3840
495000,2080,3000
578500,1490,5700
435000,1440,1350
580000,1850,2797
530000,1370,4040
657100,1390,4240
485000,1260,1240
720001,1430,2200
829000,3310,4500
338000,750,6439
446000,1940,6350
601450,1840,1500
965000,3290,5559
695000,2500,4080
402500,1480,2211
550000,1810,4064
770000,1870,1900
525000,1080,3500
645000,1240,5000
738000,1280,3900
521000,1460,1254
436000,1480,1384
750000,2060,4000
875000,1800,3245
283000,940,6350
397500,1480,5100
710000,2140,4923
845000,2390,4000
1105000,3070,5000
525000,2110,2850
270000,720,5196
651500,1500,3075
565000,1720,2218
438600,720,2500
355000,1420,3060
1125000,2880,3192
543000,1540,1256
365000,1820,5555
519000,830,2820
565000,1540,2452
675000,1530,3615
869900,2750,4400
7e+05,1680,4021
397000,1340,5100
870300,2350,3150
525000,830,3200
831000,2030,3905
680000,1870,4320
688500,1760,4125
314963,890,6350
371000,1420,4500
857500,2040,3960
355000,1480,2502
350000,1190,1022
550000,1650,3952
535000,920,5000
1e+06,3350,9450
8e+05,2370,3302
680000,1780,5720
397500,1430,1383
238000,530,6350
780000,1970,2600
539000,1380,3225
577500,1640,5515
349000,1430,1002
395000,960,6700
259250,940,5904
580000,1220,5000
549000,1290,3060
875000,2520,6000
488000,1000,5125
543000,940,3864
760000,1780,1750
430000,1550,1469
781000,1920,1896
605000,1820,7626
527950,1760,3600
551000,2040,6348
698000,1510,4080
696500,2540,4400
444000,1460,2610
570000,2400,3192
390000,710,4000
409950,990,3000
445000,1440,3225
550000,980,4800
597000,2280,2432
471001,1800,6000
549000,1380,953
705000,1650,6840
418000,1410,6030
549000,1560,5130
575000,1250,4320
765000,2660,4500
705000,2740,5339
712500,1770,2800
409950,1370,5125
870000,2370,5000
535000,1030,4841
470000,1190,5200
580000,860,4013
662500,2070,4200
403000,720,3255
705000,1440,2618
575000,1660,4800
570000,1890,3330
365000,870,5689
725000,2130,3420
445434,1470,7137
525000,1240,4800
430000,1150,3000
488000,1600,3200
355000,1270,3200
1025000,2780,4000
415000,880,5100
930000,2460,4240
887200,1400,5100
620000,1710,4050
513000,1500,1312
540000,1140,6700
925000,2610,4500
805000,1890,4500
562500,1170,2800
759000,2100,4750
650000,1430,4240
380000,1220,3000
762000,2150,2527
1311000,3490,5625
340000,1500,4158
269500,800,1200
388000,1350,2325
620000,1890,4300
599995,1620,3000
645000,2050,6000
422500,1300,2250
605000,1880,3500
640000,1560,1466
812000,1970,3420
640000,1620,6000
5e+05,1120,3220
415000,1220,835
690000,1970,4590
765000,2120,5000
360000,1360,6000
608000,2240,3750
5e+05,1250,3360
825000,2080,5000
509000,1960,2166
660000,2340,2970
6e+05,1310,5000
250000,750,6350
650000,2960,5000
465000,2010,7264
533000,1800,3780
341000,940,4200
620000,1776,1248
580000,1040,3200
677000,2000,3207
326000,1030,798
342000,1175,1366
442000,860,5535
569000,1730,3884
605000,2060,4040
560000,1440,5000
520000,1580,8841
440000,2260,5300
645000,1640,4218
625000,1990,4000
650000,2610,4160
1350000,3420,7440
747000,990,4000
485000,1420,4080
563000,1580,5289
658500,1410,5101
780000,2140,3000
855000,1900,4000
480000,1500,3420
474800,1400,1243
428000,1310,2550
565000,1720,3000
748000,3170,4979
425000,1080,6095
7e+05,1350,4000
340000,700,5829
575000,1400,5810
325000,830,5100
427000,920,3780
705000,1460,6250
579000,1800,4429
1375000,3130,4500
430000,760,7114
420000,1510,1501
599950,1150,3775
850000,3330,4000
615000,1470,1152
7e+05,1570,4000
539950,1860,1558
412000,910,6282
925000,2440,7419
499000,1170,2400
791000,2344,4800
415000,1230,3774
818000,2200,4800
660000,1980,2850
538000,1460,7200
765000,2870,5700
799000,1510,4178
665000,1615,4590
413450,1540,1614
405000,1520,1245
640000,2100,3000
526500,1310,7236
625000,2410,6770
770000,1480,3750
399950,1140,1184
9e+05,2230,4372
575000,1530,2400
611000,1850,5000
435000,670,1800
315000,700,3876
1001000,3100,8000
760000,1410,3600
560000,1380,4048
635500,1660,3600
476000,1140,1332
517000,1140,3750
504500,1820,1545
850000,2550,3784
820000,2420,4635
875000,2280,4280
530000,1260,1312
387000,1010,948
835000,1910,6960
540000,1460,4800
345000,1380,1547
312500,1070,1200
504200,1200,1687
580000,1480,1026
290000,1020,1275
405000,1060,651
562000,1300,1314
291000,840,863
345000,1110,1290
543000,1240,949
1375000,3330,5042
660000,1570,1680
580000,1620,1171
399000,1430,1250
414950,1570,1551
523950,1420,1282
449950,1540,1270
436110,1770,1235
380000,1550,1485
622000,1690,1765
1465000,2800,4000
619000,1650,946
547500,1650,2262
245000,690,1058
343000,1130,1449
650000,1480,2159
635000,1570,1433
667000,1370,1921
660000,1780,1729
602000,1460,1367
360000,1270,1323
550000,1540,1005
5e+05,1420,983
306000,1090,1183
525000,1310,1268
672000,1780,1647
375000,1540,1561
1205000,3330,7650
580000,1620,1173
467000,1420,990
565000,1870,1058
609000,1630,1526
625000,1730,1301
344000,1250,1033
385000,1360,2030
482500,1170,809
379000,1380,1234
375000,1370,1227
355000,1220,1186
5e+05,1210,1200
670000,1500,761
560000,1390,1411
319950,1280,819
425000,1150,1027
515000,1300,1180
350000,1260,1347
376000,1340,1384
359000,1360,885
5e+05,1410,1197
625000,1460,1500
563500,1400,1312
239000,680,772
674600,2610,5140
450000,960,1000
399995,1140,1069
369950,1270,1320
595000,3730,4560
375000,1140,1557
565000,1540,1005
356000,1230,989
401000,1270,1333
420000,1100,1107
336000,1260,1211
580000,1320,1250
355000,1280,959
350000,1280,940
650000,1470,690
375000,1530,1131
630500,1909,1300
610000,1300,1331
671500,1770,1714
559000,1650,960
441750,1020,1060
716000,1660,1849
453000,1160,1269
539900,1300,1325
1500000,3530,3610
375000,1440,1102
245000,390,2000
344000,1250,871
1065000,2920,3000
331000,1290,1153
339950,820,681
370000,1360,1167
455000,1420,1189
598500,1560,2091
374950,1390,1484
485000,1430,923
410000,1420,1269
375000,1290,1213
349000,1340,1151
450000,1020,1049
504600,2360,5000
535000,1320,1125
385000,1630,1598
610000,1630,1500
1555000,4360,6240
482000,1380,1120
475000,1380,1121
459000,1160,1031
690000,1540,1428
610950,1680,1570
475000,1190,1200
520000,1530,981
360000,1530,1131
