"Table BT.02 :  Births, by mother's age, Scotland, 1945 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,..,..,..,..,..,"3,550","4,626","4,712","4,243","4,119","4,029","4,077","4,302","4,099","4,070","4,172","4,315","4,356","4,138","4,015","3,835","3,498","3,439","3,370","3,129",31,"3,047","2,900","2,494","2,300","2,288","2,272","2,125","2,193","2,828","2,845","2,968","2,866","2,625","2,592","2,711","2,760","2,872","3,021","3,045","3,124","3,467","3,598","3,912","3,793","3,961","3,924","3,929","3,780","3,815","3,832","3,593","3,453","3,575","3,477","3,310","3,256","3,314","3,300","3,274","3,356","3,608","3,682","3,795","3,738","3,795","3,754",3723,3510,3533,3513,31,,,
32,..,..,..,..,..,"3,466","3,332","4,378","4,375","4,068","3,887","3,965","3,863","4,040","3,783","3,776","3,842","4,077","4,019","3,934","3,549","3,280","3,137","3,022","2,839",32,"2,603","2,563","2,163","2,007","1,763","1,779","1,734","1,623","1,852","2,610","2,421","2,399","2,197","2,162","2,158","2,274","2,294","2,467","2,477","2,611","2,952","3,039","3,132","3,194","3,318","3,361","3,375","3,619","3,521","3,410","3,389","3,309","3,317","3,558","3,419","3,278","3,183","3,248","3,293","3,138","3,310","3,472","3,601","3,585","3,736","3,632",3546,3520,3497,3409,32,,,
33,..,..,..,..,..,"3,171","2,880","2,908","3,908","3,931","3,516","3,381","3,329","3,264","3,355","3,302","3,239","3,313","3,432","3,425","3,164","2,849","2,803","2,552","2,380",33,"2,219","2,148","1,894","1,622","1,360","1,377","1,372","1,388","1,432","1,613","2,026","1,912","1,788","1,755","1,736","1,813","1,866","1,902","2,022","2,069","2,264","2,448","2,622","2,598","2,757","2,874","3,061","3,194","3,086","2,977","2,934","3,086","3,035","3,039","3,330","3,267","3,163","3,089","3,138","3,015","3,017","3,145","3,260","3,277","3,391","3,394",3469,3324,3263,3166,33,,,
34,..,..,..,..,..,"3,224","2,888","2,610","2,674","3,505","3,366","3,237","3,055","3,073","3,041","3,143","3,042","2,877","2,911","3,070","2,807","2,551","2,410","2,342","2,151",34,"1,929","1,794","1,533","1,359","1,264","1,107","1,054","1,049","1,144","1,210","1,262","1,618","1,563","1,425","1,378","1,408","1,455","1,542","1,590","1,588","1,768","1,962","2,088","2,241","2,310","2,351","2,487","2,652","2,712","2,624","2,586","2,721","2,657","2,782","2,881","3,039","3,027","2,929","3,034","2,882","2,853","2,727","2,782","2,885","3,202","3,187",3132,3126,2981,3102,34,,,
30 - 34,"20,967","25,495","25,711","21,093","18,708","18,927","19,039","19,515","20,043","20,388","19,465","19,572","19,448","19,353","19,172","19,550","19,502","19,426","19,290","19,204","17,797","16,443","15,910","15,310","14,380",30 - 34,"13,400","12,854","11,249","10,341","9,479","9,169","9,024","9,698","10,697","11,745","12,111","12,118","11,324","11,204","11,211","11,583","11,995","12,576","12,828","13,110","14,379","15,206","15,973","16,088","16,705","16,803","17,038","17,455","17,207","16,722","16,233","16,206","16,038","16,085","16,085","15,962","15,878","15,622","16,028","15,835","16,426","16,868","17,262","17,032","17,647","17,453","17,490","16,955","16,658","16,562",30 - 34,,,
35,..,..,..,..,..,"3,092","2,815","2,511","2,347","2,500","3,023","3,074","2,856","2,591","2,610","2,656","2,715","2,689","2,444","2,536","2,522","2,270","2,190","2,076","1,874",35,"1,661","1,689","1,345","1,149",980,950,819,875,916,"1,013","1,002","1,070","1,269","1,213","1,126","1,145","1,161","1,196","1,303","1,321","1,367","1,545","1,671","1,689","1,748","1,894","1,987","2,160","2,240","2,234","2,286","2,347","2,327","2,476","2,646","2,637","2,819","2,795","2,702","2,507","2,530","2,611","2,570","2,607","2,691","2,812",2850,2703,2707,2635,35,,,
36,..,..,..,..,..,"2,842","2,751","2,422","2,204","2,080","1,982","2,616","2,559","2,475","2,297","2,328","2,249","2,335","2,205","2,166","2,107","2,046","1,905","1,794","1,540",36,"1,400","1,306","1,113",984,788,732,726,601,640,817,770,801,809,979,925,941,883,887,996,948,"1,037","1,148","1,213","1,237","1,351","1,469","1,524","1,768","1,730","1,848","1,845","1,946","1,907","2,000","2,136","2,281","2,349","2,475","2,477","2,320","2,273","2,272","2,172","2,091","2,243","2,356",2448,2437,2351,2312,36,,,
37,..,..,..,..,..,"2,245","2,251","2,148","1,965","1,831","1,587","1,704","2,257","2,195","2,004","1,891","1,895","1,803","1,864","1,781","1,691","1,575","1,587","1,447","1,240",37,"1,100","1,040",880,815,686,654,574,520,502,566,612,636,551,568,728,745,675,657,698,685,787,836,923,958,997,"1,175","1,179","1,223","1,327","1,281","1,415","1,497","1,481","1,669","1,808","1,821","1,808","1,991","2,120","1,976","1,906","1,822","1,808","1,750","1,797","1,789",1829,2058,1890,1852,37,,,
38,..,..,..,..,..,"2,063","1,839","2,056","1,890","1,695","1,494","1,417","1,547","1,934","1,851","1,775","1,654","1,672","1,582","1,736","1,572","1,353","1,306","1,223","1,147",38,980,868,772,667,529,517,425,423,388,419,405,425,470,447,431,522,554,531,506,538,568,615,626,663,723,719,853,942,913,961,"1,089","1,134","1,175","1,226","1,333","1,399","1,484","1,595","1,517","1,672","1,635","1,551","1,414","1,425","1,469","1,391",1367,1456,1534,1552,38,,,
39,..,..,..,..,..,"1,695","1,585","1,595","1,561","1,472","1,385","1,205","1,165","1,178","1,520","1,424","1,459","1,329","1,187","1,324","1,252","1,078","1,025",938,931,39,732,680,572,494,440,384,353,284,312,324,315,302,306,322,302,334,376,367,355,354,384,445,444,502,527,542,583,647,683,710,760,777,837,939,989,"1,041","1,075","1,179","1,209","1,220","1,255","1,257","1,183","1,100","1,145","1,106",1062,1091,1132,1128,39,,,
35 - 39,"13,257","15,298","15,528","13,492","12,565","11,937","11,241","10,732","9,967","9,578","9,471","10,016","10,384","10,373","10,282","10,074","9,972","9,828","9,282","9,543","9,144","8,322","8,013","7,478","6,732",35 - 39,"5,873","5,583","4,682","4,109","3,423","3,237","2,897","2,703","2,758","3,139","3,104","3,234","3,405","3,529","3,512","3,687","3,649","3,638","3,858","3,846","4,143","4,589","4,877","5,049","5,346","5,799","6,126","6,740","6,893","7,034","7,395","7,701","7,727","8,310","8,912","9,179","9,535","10,035","10,025","9,695","9,599","9,513","9,147","8,973","9,345","9,454","9,556","9,745","9,614","9,479",35 - 39,,,
40,..,..,..,..,..,"1,213","1,216","1,157","1,039","1,094","1,041",968,914,930,886,"1,070","1,075","1,052",937,964,892,839,837,727,671,40,598,526,480,360,342,272,266,254,210,218,219,205,228,250,225,208,235,256,241,255,240,305,272,292,322,376,401,446,469,475,483,530,570,648,692,747,717,798,860,846,887,888,861,846,834,767,828,771,861,792,40,,,
41,..,..,..,..,..,891,821,775,781,778,769,708,638,617,544,600,797,774,666,702,570,610,619,490,431,41,406,404,334,254,229,192,166,163,129,166,144,160,149,119,139,128,118,140,156,166,186,179,181,202,195,203,248,224,273,313,336,322,317,386,468,457,513,512,590,527,567,589,583,574,588,536,570,506,503,517,41,,,
42,..,..,..,..,..,728,612,636,613,628,577,577,554,510,475,424,442,574,595,530,497,440,390,378,350,42,281,291,225,168,141,165,100,107,93,105,101,105,99,79,86,99,81,64,73,115,100,103,123,100,115,138,129,145,157,155,176,207,197,233,261,268,302,294,316,365,338,358,350,363,330,339,336,326,365,320,42,,,
43,..,..,..,..,..,385,366,356,371,365,329,333,387,309,259,261,249,259,326,336,283,313,246,209,191,43,165,160,133,121,117,81,85,75,58,67,65,46,53,51,56,48,50,59,41,55,59,68,61,65,73,64,88,82,78,100,102,110,122,114,140,150,162,155,197,199,197,228,198,219,218,223,224,190,176,178,43,,,
44,..,..,..,..,..,235,214,216,223,200,210,191,191,177,171,151,143,147,121,198,179,143,131,137,109,44,87,87,62,65,61,52,39,30,42,28,27,38,21,30,37,28,35,22,22,27,18,31,37,38,31,30,25,39,50,53,36,55,61,51,70,72,81,90,81,108,91,92,101,96,105,91,98,114,123,121,44,,,
40 - 44,"4,020","4,129","4,345","4,004","3,588","3,452","3,229","3,140","3,027","3,065","2,926","2,777","2,684","2,543","2,335","2,506","2,706","2,806","2,645","2,730","2,421","2,345","2,223","1,941","1,752",40 - 44,"1,537","1,468","1,234",968,890,762,656,629,532,584,556,554,550,529,543,511,519,541,533,618,603,686,674,697,736,811,891,936,"1,027","1,096","1,133","1,224","1,267","1,432","1,631","1,694","1,775","1,849","2,044","2,045","2,080","2,155","2,093","2,098","2,075","1,956","2,056","1,907","2,028","1,928",40 - 44,,,
45,..,..,..,..,..,117,117,91,103,107,96,87,91,87,89,94,73,87,81,72,100,78,81,74,74,45,58,44,33,23,42,36,20,24,15,17,15,13,13,17,14,13,13,10,12,14,13,21,13,10,12,14,16,13,21,24,22,21,26,20,30,29,25,48,50,47,52,70,55,62,73,65,69,66,48,75,45,,,
46,..,..,..,..,..,71,57,47,69,50,43,46,40,51,34,42,45,51,35,44,40,38,41,22,31,46,31,14,15,10,11,15,10,12,7,5,6,10,5,3,6,4,8,8,5,5,8,5,5,10,9,6,8,2,12,10,3,6,10,13,12,14,23,22,28,18,29,22,24,33,33,36,24,43,25,34,46,,,
47,..,..,..,..,..,27,28,22,22,19,25,13,25,16,18,17,20,29,15,17,14,11,17,15,9,47,8,2,9,5,4,2,1,3,2,5,4,2,5,2,3,5,3,-,4,3,2,3,1,2,5,2,2,1,6,4,2,-,2,2,3,12,5,4,6,10,8,14,11,15,19,15,19,29,21,18,47,,,
48,..,..,..,..,..,10,8,10,15,6,6,7,6,4,11,9,7,15,6,7,6,4,6,10,4,48,4,2,3,3,1,-,-,2,-,2,1,1,2,-,-,1,-,1,1,-,-,1,2,1,-,1,3,-,3,1,2,1,6,2,2,2,3,5,3,14,4,3,10,11,9,15,12,6,7,19,48,,,
49,..,..,..,..,..,4,1,-,2,4,2,4,2,1,2,1,3,9,4,2,2,3,1,3,1,49,1,2,1,1,1,2,-,-,1,1,1,1,1,-,-,-,2,1,-,-,-,1,2,-,-,1,2,-,-,1,-,5,2,1,-,4,1,-,4,2,5,4,5,9,7,6,2,3,11,5,49,,,
45 - 49,278,268,287,248,240,229,211,170,211,186,172,157,164,159,154,163,148,191,141,142,162,134,146,124,119,45 - 49,102,64,61,42,59,55,31,41,25,30,27,27,26,22,23,23,26,20,22,22,23,31,23,23,26,24,31,16,42,40,29,33,46,38,47,61,57,79,91,91,98,113,105,130,141,137,126,147,112,151,45 - 49,,,
50,..,..,-,-,..,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,..,-,-,50,-,..,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,2,-,1,-,-,-,7,-,-,2,2,1,3,4,-,-,5,-,5,3,3,3,4,7,4,50,,,
51,..,..,-,-,..,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,..,-,-,51,-,..,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,1,3,1,6,3,-,3,51,,,
52,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,52,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,2,-,1,-,-,1,1,1,2,3,-,52,,,
53,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,53,-,..,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,53,,,
54,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,54,-,..,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,1,-,-,1,-,54,,,
55,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,55,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,55,,,
56,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,56,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,56,,,
50 and over,2,4,-,-,1,-,1,1,-,-,1,-,-,2,1,-,-,-,-,-,-,-,4,-,-,50 and over,-,1,-,-,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,2,1,3,-,1,-,7,1,1,3,5,1,4,4,4,-,10,1,6,7,6,11,11,13,7,50 and over,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,321,358,293,116,174,220,170,159,93,43,75,39,59,32,41,34,43,76,86,104,34,28,32,23,16,Not stated,37,67,47,42,134,173,139,168,200,129,102,90,53,71,91,98,95,89,83,101,65,103,60,49,52,24,128,66,67,48,49,28,35,60,26,77,39,57,26,20,21,46,45,17,60,8,17,1,2,6,Not stated,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"86,924","104,413","113,147","100,344","95,674","92,530","90,639","90,422","90,913","92,315","92,539","95,313","97,977","99,481","99,251","101,292","101,169","104,334","102,691","104,355","100,660","96,536","96,221","94,786","90,290",,"87,335","86,728","78,550","74,392","70,092","67,943","64,895","62,342","64,294","68,366","68,890","69,054","66,196","65,078","65,106","66,676","65,812","66,241","66,212","63,480","65,973","67,024","65,789","63,337","61,656","60,051","59,296","59,440","57,319","55,147","53,076","52,527","51,270","52,432","53,957","54,386","55,690","57,781","60,041","59,046","58,791","58,590","58,027","56,014","56,725","55,098","54,488","52,861","51,308",49863,All,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
